begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01,56.28,171.5,,14.85,26.74,872.0,18660,66.24,21.22,,12.416,500.0,5.7,0.711,,840,1127.0,870.0,2318,7.2,821,71.5,13.4,,5.037,37.4,5480,830.0,3245,272.0,9.7,8.1,,,7.76,0.901,1860,1790,5.24,,,489.5,60.62,,0.09282,31.2,975.0,302.0,42.1,,192.5,,,2640.0,,67.5,385.0,310.0,171.0,,941,8.55,,0.8001,3044,2304,1217,3.4375,54.62,,13.85,10.0,400.6,413.8,162.0,0.1585,0.292,38.2,37.6,8.62,,89.3,857,35400,7800,10280,8.26,293.0,216.0,7.12,7.78,56.0,0.01704,71.1,16.35,,678.5,3944.0,7760,1425,6.99,139.0,570.0,12.06,5.35,3.4,32.38,,395.0,277.0,210.0,,4155.0,10560,1410,676,17.1,16.3,85.36,0.2476,10.32,0.1716,0.2675,0.1568,0.03035,0.03095,0.0274,0.329,2.062,0.8855,79.0,123.66,136.5,278.85,190.0,177.4,251.0,316.0,77.45,64.34,23.4,133.1,5.37,1780,560,149.0,1060.2,0.6582,17.85,4045,855.0,7800,780.0,8464.0,116.0,117.2,372.1,890.0,,,,295.5,288.25,152.0,44.5,0.129,6060,89.4,0.6725,111.4,375.15,44.8,,65.47,62.95,0.544,0.549,52.84,54.7,15.46,1.214,1.176,0.0948,0.0878,129.91,126.5,39.99,603.6,8.088,395.05,2.87,2798.0,25.11,36.0,,166.3,0.6965,0.5615,173.0,,21.25,,0.4595,0.393,422.1,380.0,1861.0,0.009112,0.0037,0.0052,0.00251,715,0.259,0.1875,59.64,1200.5,0.4725,90.5,,1030,0.64,5730,1.468,10660,0.0645,6.99,41.65,,1.755,1299,578,303.0,66.2,162.8,91.6,,57940,3835,4280,87.525,7.82,6.58,,107.0,,0.282,0.2785,170,82.5,,2920,3.5
2022-07-04,56.9,173.0,,15.0,27.12,854.4,18422,64.55,21.895,,12.326,478.0,5.56,0.693,,835,1153.5,884.0,2301,7.3,794,69.76,13.3,,5.006,39.0,,846.8,3220,269.6,9.38,7.46,,,7.4,0.889,1890,1680,5.3,,,466.0,57.8,,0.09202,31.72,1029.0,289.6,40.49,,186.25,,,2631.0,,66.8,392.0,307.95,170.24,,952,8.48,,0.7998,3072,2304,1233,3.46,69.7,,14.15,10.04,396.6,414.0,163.5,0.16,0.299,38.2,37.2,8.54,,91.9,841,35200,7750,10340,8.27,289.5,213.0,7.15,7.68,55.9,0.0168,71.8,16.19,,674.0,3949.5,7670,1415,6.89,139.15,561.0,12.15,5.41,3.6,31.31,,403.0,277.0,207.5,,4198.0,10270,1410,660,17.2,16.3,85.02,0.2436,9.9,0.1711,0.265,0.159,0.0302,0.03195,0.0272,0.329,2.0745,0.887,83.65,121.2,133.5,280.55,189.8,178.0,248.0,312.5,77.0,64.18,23.36,135.5,5.35,1760,560,148.5,1025.0,0.649,18.0,3985,859.0,7692,742.0,7997.5,113.9,118.0,355.1,868.4,,,,288.5,280.0,152.0,43.95,0.1254,6050,88.0,0.6645,111.0,371.6,44.8,24000,66.0,63.9,0.55,0.539,54.245,54.4,15.2,1.206,1.194,0.0966,0.089,131.43,127.0,39.52,610.8,8.041,400.85,2.89,2739.5,25.485,35.9,,160.8,0.682,0.558,172.0,,21.0,,0.456,0.4035,433.0,383.0,2012.0,0.00905,0.003645,0.00528,0.00245,715,0.259,0.185,62.02,1213.0,0.4745,90.0,,1020,0.642,5730,1.475,10720,0.0644,7.24,41.3,3.595,1.8,1295,576,315.6,68.4,164.0,90.8,,57900,3910,4260,92.75,7.82,6.6,,109.5,,0.283,0.2785,172,83.0,,3010,3.48
2022-07-05,56.38,172.5,,15.0,28.26,837.2,17902,64.99,21.5,,12.412,489.0,5.53,0.6905,,830,1144.0,863.0,2327,7.23,786,69.15,13.55,,5.03,38.2,5400,832.0,3300,269.6,9.22,7.38,,,7.27,0.864,1850,1570,5.22,,,493.0,58.6,,0.09058,31.06,1054.5,291.1,40.1,,197.3,,,2613.0,,67.4,381.3,304.6,167.0,,988,8.48,,0.8004,3016,2498,1236,3.42,50.48,,13.95,10.2,397.0,414.8,162.0,0.16,0.309,,37.4,8.65,,89.2,854,35000,,10360,8.28,287.5,213.0,7.15,7.58,55.2,0.01681,70.8,15.9,,673.0,4015.0,7580,1460,7.06,147.5,556.0,11.98,5.59,3.66,31.095,,426.9,285.5,211.0,,4314.0,10300,1420,670,17.0,16.2,85.26,0.2436,9.9,0.1737,0.2645,0.1592,0.0301,0.03155,0.0274,0.33,2.097,0.885,81.0,122.94,135.55,276.3,190.0,176.6,248.0,305.5,77.7,66.0,23.08,136.5,5.325,,557,147.0,970.2,0.6928,18.27,3980,864.0,7631,745.3,8100.0,114.5,117.8,360.1,877.0,,37200,,284.5,276.15,154.0,43.9,0.1236,6120,88.4,0.6679999999999999,111.0,371.5,44.2,,65.55,63.2,0.55,0.524,57.51,54.6,15.1,1.216,1.18,0.1062,0.0926,133.5,127.79,39.5,601.2,8.172,397.0,2.865,2721.0,26.97,36.03,,158.5,0.6835,0.545,173.0,,20.95,,0.4455,0.3825,426.0,382.5,2039.0,0.0081,0.0036,0.00531,0.00247,715,0.257,0.185,59.36,1220.0,0.491,89.5,,1012,0.62,5690,1.47,10600,0.0644,7.49,42.05,3.475,1.79,1293,573,314.8,68.25,163.0,89.6,,56240,3830,4160,93.925,7.94,6.64,,109.2,,0.273,0.268,170,82.5,,2950,3.47
2022-07-06,60.68,172.0,,15.163,27.34,843.8,18088,64.96,21.325,,12.502,497.0,5.52,0.688,,860,1130.0,841.0,2308,7.23,783,70.46,13.3,,5.001,38.4,5340,831.2,3280,276.6,9.22,7.18,,,7.36,0.873,1845,1560,5.26,,,481.5,60.2,,0.08988,30.66,1095.0,291.0,39.7,,195.42,,,2645.5,,67.45,395.4,296.4,164.52,,921,8.54,,0.8052,2884,2556,1263,3.422,41.8,,14.2,10.12,400.0,412.2,159.0,0.158,,38.0,37.6,8.61,,92.0,864,35600,7700,10360,8.18,290.5,222.0,7.08,7.64,55.9,0.01761,71.2,16.03,,678.0,3962.0,8190,1600,6.94,148.8,549.0,11.9,5.46,3.56,32.16,,426.1,275.5,211.0,,4306.0,10480,1440,674,17.0,16.1,85.48,0.2482,9.86,0.1784,0.2665,0.1558,0.0301,0.03155,0.0271,0.326,2.093,0.8975,81.25,123.6,140.75,270.05,190.7,179.2,249.5,304.0,78.0,64.92,22.72,138.9,5.27,1760,577,146.0,1009.6,0.6779,18.27,,876.0,7865,751.5,8020.0,114.9,117.2,354.4,865.0,,36000,,294.5,281.85,152.0,45.87,0.1246,5780,87.2,0.667,110.8,369.65,44.2,24000,66.67,63.45,0.542,0.517,55.63,52.5,15.32,1.2,1.198,0.1098,0.0906,134.0,127.0,39.6,610.4,8.09,397.35,2.89,2714.0,26.37,36.13,,156.2,0.683,0.5465,172.5,,20.95,,0.4515,0.3805,429.8,383.8,2100.0,0.008102,0.0036,0.00519,0.0025,715,,0.1845,58.7,1224.0,0.4985,88.5,,1044,0.6185,5730,1.451,10620,0.0655,8.03,41.4,3.455,1.805,1280,579,321.0,70.0,164.4,87.0,,56840,3800,4300,93.60000000000001,7.88,6.7,,107.7,,0.273,0.258,,82.5,,2985,3.55
2022-07-07,58.7,172.5,,15.051,27.78,860.0,18402,65.35,21.375,,12.5,505.0,5.64,0.6985,,870,1145.0,850.0,2409,7.27,797,70.24,13.45,,4.936,38.4,5320,823.8,3275,269.6,9.26,7.06,,,7.4,0.877,1870,1580,5.2,,,485.5,60.8,,0.0905,30.41,1149.5,305.1,39.3,,197.92,,,2649.0,,67.35,401.8,299.2,165.5,,888,8.51,,0.797,2944,2474,1272,3.4195,54.34,,14.3,10.5,400.6,417.2,158.0,0.1605,,37.6,37.6,8.64,,90.9,870,35800,7750,10400,8.18,288.5,223.5,7.15,7.78,56.9,0.01762,71.0,15.97,,686.0,3956.0,8260,1540,7.03,150.75,551.0,12.06,5.47,3.35,32.25,,440.0,278.5,210.5,,4420.0,10290,1455,674,16.8,15.4,85.31,0.2458,9.8,0.1784,0.266,0.1518,0.03015,0.03115,0.0273,0.321,2.1145,0.877,80.5,121.57,139.4,273.0,200.5,176.8,245.0,305.0,78.85,65.58,22.68,138.38,5.505,1810,563,146.5,998.0,0.67,18.62,4100,1019.0,7920,756.9,8225.0,114.9,118.0,364.0,864.0,,36800,,299.0,279.3,152.0,47.44,0.1242,5840,88.4,0.6705,111.2,364.95,44.8,23800,65.49,63.9,0.54,0.518,55.9,49.8,15.58,1.198,1.198,0.1204,0.093,133.09,126.2,40.08,605.4,8.181,387.95,2.87,2650.0,26.135,36.08,,140.9,0.693,0.5505,172.0,,20.8,,0.456,0.3885,407.9,365.3,2031.0,0.008254,0.003605,0.0052,0.0025,715,0.256,0.19,59.42,1234.0,0.4915,88.5,,1042,0.6305,5710,1.47,10700,0.0649,7.76,43.0,,1.795,1270,550,332.8,74.2,165.0,84.6,,57820,3900,4240,93.67500000000001,7.94,6.56,,110.45,,0.269,0.265,172,83.0,,2900,3.605
2022-07-08,59.54,175.0,,15.044,27.6,838.0,18362,66.84,21.4,,12.496,514.5,5.64,0.689,,855,1041.5,741.0,2520,7.28,792,69.81,13.4,,4.916,39.0,5340,821.4,3365,270.6,9.28,6.9,,,7.4,0.86,,1570,5.28,,,485.5,61.0,,0.08964,30.5,1147.5,317.5,39.3,,198.0,,,2650.5,,67.2,403.9,294.5,167.2,,927,8.4,,0.803,2914,2430,1273,3.399,54.7,,14.2,10.34,400.6,415.8,159.0,0.1605,0.299,37.6,37.4,8.69,,90.5,865,35200,7800,10540,8.24,294.0,224.0,7.15,7.76,56.9,0.01725,70.0,16.02,,689.5,3911.0,8360,1555,6.9,150.05,546.8,11.97,5.43,3.18,31.5,,442.9,276.0,209.0,,4439.0,10440,1470,670,16.8,16.0,85.2,0.2466,9.8,0.1801,0.2685,0.1516,0.0303,0.03155,0.0275,0.325,1.932,0.88,80.2,121.95,142.5,275.05,202.0,176.4,245.0,306.0,79.55,67.06,22.96,138.0,5.555,1810,560,146.5,993.0,0.5863,19.03,4010,1006.0,7929,757.0,8376.0,114.0,119.6,363.4,869.6,,37200,,316.0,297.5,152.0,47.25,0.1256,5820,88.8,0.674,111.2,351.2,44.2,,66.54,64.8,0.536,0.53,55.83,49.8,15.42,1.21,1.2,0.1398,0.0956,133.3,126.5,40.1,613.6,8.149,390.3,2.9,2695.0,25.995,35.91,,141.5,0.691,0.559,177.5,,20.65,,0.4465,0.381,409.9,361.9,2013.0,0.00847,0.00365,0.00522,0.0025,705,0.256,,61.02,1236.5,0.4945,88.0,,1024,0.6325,5710,1.469,10680,0.0654,7.95,42.35,3.4,1.765,1292,557,328.8,74.35,166.0,84.0,,57180,3850,,94.14999999999999,7.86,6.6,,109.2,,0.272,0.2605,172,83.0,,2945,3.58
2022-07-11,61.02,172.5,,14.8,27.7,821.2,18058,65.11,22.455,,12.442,512.0,5.68,0.6885,,840,1012.5,715.0,2450,7.27,790,69.51,13.35,,4.789,38.8,5620,808.6,3340,268.4,9.16,6.74,,,7.54,0.861,1845,1560,5.2,,,468.0,58.98,,0.0879,29.94,1138.0,305.9,37.9,,188.9,,,2640.0,,67.55,397.5,285.05,162.7,,913,8.45,,0.8025,2876,2402,1272,3.4005,55.68,,14.2,10.2,395.6,407.8,161.5,0.159,0.307,37.4,37.2,8.84,,89.8,862,35200,7700,10360,8.84,291.5,217.0,7.1,7.6,56.0,0.01719,70.3,15.61,,681.0,3848.5,8240,1495,6.93,147.35,531.8,11.92,5.19,3.06,30.755,,423.0,282.0,214.0,,4385.0,10320,1455,670,15.7,15.7,84.48,0.2428,9.76,0.1796,0.2705,0.1518,0.03055,0.0312,0.02695,0.321,1.85,0.8765,79.9,116.9,135.95,239.85,197.6,179.0,241.0,313.5,80.0,65.12,22.42,136.52,5.09,1785,581,145.5,968.6,0.555,18.98,4420,1050.0,7726,731.0,8484.0,114.2,116.8,362.2,862.2,,36800,,302.0,288.15,152.0,47.49,0.1256,5910,88.8,0.665,111.2,343.8,44.0,23400,65.88,64.1,0.55,0.525,54.495,49.4,15.42,1.22,1.204,0.1346,0.0938,126.8,121.99,39.5,630.2,8.016,385.3,2.86,2571.0,25.185,35.835,,146.6,0.686,0.547,176.0,,20.55,,0.46,0.397,400.0,355.9,1980.0,0.008184,0.00376,0.00521,0.0025,710,0.258,0.1865,60.56,1246.0,0.4885,87.5,,1068,0.597,5700,1.43,10700,0.063,7.8,41.1,3.405,,1226,561,323.0,73.0,177.8,84.8,,57060,3850,4240,91.625,7.86,6.58,,107.5,,0.2685,0.255,174,83.0,,2905,3.525
2022-07-12,60.2,172.5,,14.173,27.3,802.0,17782,65.18,23.155,,12.544,501.0,5.66,0.6865,,840,996.0,683.5,2344,7.29,796,68.74,13.25,,4.721,39.0,5600,779.8,3260,262.0,9.0,6.62,,,7.4,0.852,1840,1530,5.26,,,454.0,55.6,,0.08776,29.22,1108.0,298.4,37.85,,191.4,,,2610.5,,67.35,379.0,282.15,159.22,,863,8.13,,0.801,2790,2366,1272,3.275,52.72,,13.95,10.2,390.8,405.8,164.5,0.1595,0.304,37.0,36.2,8.75,,88.2,858,35200,7650,10240,8.69,291.0,221.5,7.07,7.8,56.9,0.01718,71.7,15.9,,682.0,3752.0,8130,1460,6.83,144.4,526.2,11.9,5.15,3.08,29.99,,413.8,288.5,210.0,,4300.0,10240,1510,670,13.4,12.2,83.48,0.2446,9.8,0.1772,0.2665,0.1476,0.03015,0.03115,0.0271,0.325,1.8,0.876,78.65,115.4,133.7,236.85,192.6,176.4,236.0,309.0,81.0,64.72,22.2,132.52,5.01,1785,559,145.5,942.0,0.5232,18.11,4355,1075.0,7302,720.0,8320.0,113.4,116.0,341.4,850.0,,,,299.5,283.5,154.0,45.58,0.1262,6250,86.2,0.666,111.0,333.5,44.2,23000,65.19,64.0,0.584,0.53,52.965,51.0,15.64,1.242,1.368,0.1338,0.0906,129.0,122.67,38.24,700.8,7.8,382.0,2.87,2520.5,24.78,35.415,,137.1,0.684,0.5515,177.0,,20.45,,0.4445,0.3785,391.8,347.4,1943.5,0.008048,0.003625,0.00512,0.00246,710,0.258,0.183,68.52,1248.0,0.476,86.5,,1060,0.604,5620,1.43,10700,0.0627,8.25,40.1,3.35,1.705,1210,555,319.8,70.05,166.8,83.6,,56700,3840,,90.825,7.68,6.46,,107.15,,0.273,0.2595,172,83.0,,2835,3.46
2022-07-13,58.26,173.5,,13.381,26.68,752.4,16750,63.7,23.24,,12.4,493.5,5.56,0.6965,,830,960.5,660.5,2370,7.11,777,68.14,13.2,,4.575,40.6,5380,756.4,3220,252.8,8.98,6.4,,,7.35,0.849,1900,1580,5.24,,,429.0,53.06,,0.0859,28.49,1124.5,287.5,36.6,,186.0,,,2566.5,,66.5,386.9,282.0,152.0,,835,8.11,,0.7941,2892,2354,1283,3.2005,47.92,,13.65,9.92,381.6,400.6,135.5,0.16,0.306,37.0,37.4,8.55,,86.5,826,35000,7550,10060,8.34,287.0,220.0,7.12,7.62,56.8,0.0171,70.4,15.47,,661.0,3645.5,7830,1440,6.72,144.3,526.8,12.1,5.16,2.95,28.55,,389.2,282.0,205.0,,4255.5,9850,1400,660,13.3,11.7,81.55,0.246,9.74,0.1786,0.266,0.143,0.03045,0.03135,0.02715,0.32,1.767,0.87,76.45,111.73,125.75,233.9,188.2,175.2,220.0,304.0,79.15,64.0,22.0,129.8,4.8,1700,563,145.5,916.2,0.5,18.19,4190,1037.0,7102,723.0,8171.0,113.1,116.6,317.1,863.6,,36200,,287.0,263.5,150.0,45.6,0.126,5920,84.0,0.659,111.4,321.0,43.8,23300,63.74,62.4,0.558,0.533,50.11,49.9,15.2,1.238,1.298,0.1166,0.087,126.0,120.36,36.64,739.0,7.535,369.6,2.855,2572.0,24.33,34.68,,123.5,0.681,0.5485,173.0,,20.05,,0.44,0.371,375.8,340.9,1895.0,0.00787,0.003535,0.00522,0.00245,705,0.253,0.18,67.0,1220.0,0.4605,84.5,,1022,0.5695,5490,1.419,10300,0.0608,8.08,38.05,,1.695,1184,545,307.8,73.05,155.4,60.0,,55700,3830,4240,89.42500000000001,7.62,6.46,,107.45,,0.2605,0.258,172,83.0,,2800,3.335
2022-07-14,56.6,174.0,,13.107,26.86,748.0,16044,63.08,23.025,,12.406,499.5,5.55,0.69,,835,942.5,645.0,2403,6.74,741,67.57,13.25,,4.526,39.0,5460,743.6,3295,243.0,8.88,6.42,,,7.4,0.842,1860,1570,5.2,,,418.5,53.18,,0.0877,28.8,1119.5,286.4,35.25,,184.55,,,2579.0,,66.55,376.0,268.95,153.02,,825,8.03,,0.7893,2816,2314,1303,3.29,44.16,,13.75,9.86,367.0,380.4,131.5,0.1595,,37.0,37.4,8.59,,86.1,828,35000,7550,10040,8.29,283.5,,7.16,7.68,57.4,0.01689,69.5,15.35,,663.0,3608.0,7650,1420,6.76,141.6,532.4,11.8,5.04,2.96,27.97,,382.0,281.0,202.5,,4228.0,10000,1395,644,12.4,11.1,81.9,0.2458,9.48,0.1767,0.2625,0.1426,0.03075,0.0315,0.0272,0.312,1.761,0.867,76.1,112.27,127.55,229.8,189.3,174.8,216.5,301.5,77.55,63.64,21.68,127.14,4.745,1700,561,144.0,926.6,0.4912,17.88,4090,1039.5,7238,729.0,8182.0,113.7,116.2,310.0,860.0,,36200,,284.5,266.0,152.0,44.45,0.125,5900,81.0,0.6605000000000001,111.2,315.45,43.4,23000,62.86,61.9,0.552,0.528,48.95,50.3,15.58,1.178,1.258,0.122,0.0912,125.9,120.49,35.0,645.4,7.922,365.0,2.86,2645.0,23.95,33.765,,120.4,0.68,0.543,173.0,,20.2,,0.452,0.433,366.6,332.8,1879.5,0.007856,0.003475,0.00494,0.00245,705,0.247,0.178,70.5,1215.0,0.4695,83.5,,1080,0.575,5500,1.42,10740,0.0608,8.6,38.5,3.48,1.73,1143,543,300.8,78.55,151.0,58.6,,57720,3800,4140,88.74999999999999,7.28,6.32,,103.95,,0.268,0.2585,172,83.0,,2770,3.335
