begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01,57.8,173.5,,15.4,27.6,880.0,18780,67.49,22.72,,12.45,507.0,5.75,0.7165,,840,1157.0,880.0,2333,7.49,839,75.09,13.45,,5.093,37.8,5480,859.0,3335,279.8,10.24,9.2,,,7.82,0.913,1860,1820,5.7,,,494.0,61.6,,0.09688,31.55,996.5,306.9,43.0,,201.85,,,2690.0,,68.1,388.6,314.75,177.42,,1010,8.8,,0.8074,3260,2498,1226,3.567,56.0,,14.0,10.02,401.4,419.2,168.5,0.159,0.292,38.6,37.6,8.79,,90.8,868,35400,7900,10460,8.37,295.0,228.0,7.15,7.78,57.0,0.01718,71.5,16.4,,694.5,4002.5,8240,1470,7.07,140.85,584.6,12.27,5.54,3.5,32.77,,404.0,278.0,210.0,,4312.0,10960,1450,686,17.7,17.2,86.8,0.2496,10.68,0.175,0.2705,0.165,0.03065,0.0321,0.0277,0.329,2.1,0.913,79.5,124.6,140.0,279.0,190.7,177.4,257.0,319.5,78.05,65.22,23.4,140.18,5.4,1780,565,149.0,1076.0,0.6737,18.2,4045,863.5,8037,780.0,8958.5,117.1,119.6,388.6,900.0,,,,299.0,296.0,160.0,44.51,0.1292,6590,90.2,0.6825,111.6,393.7,45.0,,66.94,63.85,0.546,0.553,53.5,54.8,15.9,1.232,1.19,0.1036,0.0894,132.0,127.85,41.41,611.4,8.107,414.65,2.99,2837.0,26.69,36.63,,172.7,0.71,0.6035,176.0,,21.75,,0.4605,0.402,439.9,404.8,1877.0,0.009488,0.00378,0.00545,0.00256,715,0.261,0.1875,61.94,1207.5,0.4845,94.0,,1042,0.65,5800,1.484,10660,0.0647,7.1,44.0,,1.83,1300,588,308.6,67.85,165.6,92.0,,58960,3835,4280,91.25,7.82,6.68,,110.0,,0.2865,0.2785,172,83.0,,3025,3.56
2022-07-04,59.0,174.5,,15.49,27.3,888.8,18800,66.5,23.4,,12.502,505.5,5.68,0.7165,,840,1170.0,899.5,2350,7.35,833,71.86,13.45,,5.137,39.2,,848.2,3255,282.8,9.76,8.12,,,7.77,0.913,1890,1960,5.3,,,498.0,60.98,,0.0943,33.3,1031.0,312.0,43.2,,195.44,,,2730.0,,67.9,413.9,315.65,173.5,,969,8.61,,0.8073,3268,2496,1236,3.525,69.9,,14.25,10.1,409.0,420.0,169.5,0.16,0.303,38.2,37.4,8.73,,94.0,852,35200,7800,10480,8.33,293.5,220.0,7.22,7.78,58.1,0.0172,72.6,16.66,,686.0,4095.0,7690,1450,7.09,141.8,590.0,12.22,5.57,3.7,32.8,,434.5,285.0,209.5,,4275.0,10410,1470,692,17.4,16.7,86.3,0.25,10.9,0.1742,0.2685,0.1628,0.0307,0.0321,0.02795,0.33,2.11,0.899,87.0,127.5,138.95,281.35,194.5,178.8,251.0,322.0,78.95,65.88,23.4,136.5,5.54,1805,560,151.5,1096.0,0.67,18.64,4030,889.0,7766,790.0,8505.0,117.4,118.0,379.0,893.0,,,,301.5,293.0,156.0,44.75,0.1294,6230,89.8,0.6725,111.6,380.35,45.0,24100,66.8,64.75,0.568,0.547,54.3,57.2,15.66,1.21,1.194,0.0992,0.089,132.8,128.73,40.75,615.2,8.1,408.2,2.965,2838.0,26.195,36.415,,169.9,0.692,0.564,175.0,,22.1,,0.465,0.419,439.0,391.0,2020.0,0.009286,0.00376,0.00533,0.00251,715,0.26,0.185,64.3,1230.0,0.493,93.0,,1032,0.6525,5790,1.499,10720,0.0644,7.8,42.35,3.595,1.8,1312,585,325.0,68.45,166.2,95.0,,58460,3910,4260,92.75,7.96,6.68,,110.3,,0.29,0.2785,174,83.0,,3095,3.59
2022-07-05,57.4,174.0,,15.184,28.48,862.8,18520,65.2,22.5,,13.4,496.0,5.55,0.713,,840,1160.0,891.0,2340,7.39,799,70.34,13.8,,5.073,39.6,5400,848.0,3490,275.0,9.38,7.54,,,7.48,0.894,1870,1630,5.38,,,583.0,59.1,,0.09226,31.68,1098.5,296.0,41.0,,199.87,,,2650.0,,67.75,399.9,310.8,178.22,,1005,8.57,,0.8026,3188,2530,1240,3.46,76.0,,14.1,10.24,402.4,418.4,166.5,0.16,0.309,,37.6,8.95,,94.9,868,35400,,10480,8.32,292.0,220.5,7.16,7.74,56.0,0.01713,71.8,16.42,,681.0,4048.0,7890,1475,7.5,159.0,582.4,12.02,5.76,3.69,31.52,,428.0,291.5,211.0,,4314.0,10470,1525,680,17.2,16.2,85.87,0.247,10.2,0.1749,0.267,0.161,0.0303,0.03215,0.02775,0.334,2.1155,0.8875,85.0,125.6,136.75,281.45,192.7,180.0,251.0,311.0,79.5,67.7,24.2,136.78,5.4,,557,151.5,1044.4,0.6936,18.75,3980,870.0,7738,755.0,8174.0,115.5,118.0,374.2,919.6,,37200,,300.0,284.0,158.0,44.18,0.1286,6150,89.0,0.67,111.6,377.15,44.8,,66.49,64.4,0.56,0.555,66.495,56.0,15.42,1.288,1.182,0.1068,0.0966,135.7,129.65,40.5,611.8,8.275,403.9,2.93,2768.0,27.22,36.25,,163.4,0.685,0.565,174.5,,21.6,,0.451,0.392,432.9,389.0,2095.0,0.009156,0.003655,0.00537,0.00251,715,0.257,0.1855,65.5,1220.0,0.5,90.5,,1036,0.6525,5760,1.535,10740,0.0645,7.5,44.35,3.525,1.805,1312,583,321.2,70.0,166.2,91.0,,57960,3850,4320,95.5,7.94,6.7,,110.0,,0.284,0.27,172,83.0,,3010,3.475
2022-07-06,62.38,174.5,,15.228,28.48,855.0,18350,66.3,21.915,,12.712,502.0,5.73,0.705,,905,1149.5,865.0,2348,7.31,800,72.0,13.7,,5.168,39.0,5400,843.8,3330,282.0,9.3,7.54,,,7.39,0.881,1870,1580,5.48,,,509.5,60.36,,0.09118,31.21,1100.0,297.1,41.29,,205.78,,,2699.5,,67.55,405.0,307.95,169.8,,1071,8.59,,0.8069,2974,2590,1263,3.49,49.2,,14.2,10.46,404.8,425.0,164.5,0.16,,38.0,37.8,8.86,,92.5,892,36000,7750,10580,8.27,290.5,222.0,7.27,7.72,55.9,0.01785,71.8,16.18,,680.0,4150.0,9000,1700,7.19,153.1,561.8,12.09,5.64,3.65,32.695,,432.4,287.0,212.5,,4360.0,10600,1440,686,17.1,16.2,86.68,0.2516,10.04,0.1818,0.268,0.1602,0.0307,0.03225,0.0278,0.33,2.1065,0.8985,82.0,127.4,144.05,277.25,192.9,179.6,255.0,313.0,79.25,67.86,23.26,140.5,5.355,1900,578,149.0,1012.6,0.6986,18.82,,911.0,7930,755.0,8300.0,116.6,118.8,380.6,898.0,,37200,,297.0,290.0,156.0,45.96,0.1284,6230,89.0,0.6785,111.0,378.7,44.4,24000,66.89,63.8,0.576,0.531,57.835,54.7,15.44,1.214,1.202,0.11,0.0942,137.1,130.76,40.05,614.2,8.237,402.0,2.89,2744.5,27.47,36.395,,166.3,0.71,0.565,175.0,,21.4,,0.4515,0.3885,430.6,388.7,2149.5,0.00835,0.00362,0.00538,0.0025,715,,0.1875,60.58,1253.5,0.5015,90.5,,1068,0.6345,5800,1.481,10620,0.0663,9.6,43.3,3.455,1.805,1291,580,335.2,71.95,166.8,91.6,,59720,3800,4300,95.5,7.96,6.7,,110.0,,0.275,0.274,,83.0,,3005,3.57
2022-07-07,63.24,178.5,,15.3,28.08,865.0,18582,65.84,21.85,,13.0,518.5,5.64,0.703,,870,1152.0,853.0,2437,7.33,801,71.5,13.5,,5.054,38.4,5340,831.0,3320,280.0,9.44,7.2,,,7.4,0.912,1870,1610,5.26,,,492.0,62.6,,0.0909,31.08,1159.0,307.8,40.32,,199.47,,,2674.0,,67.55,409.5,302.15,166.96,,959,8.69,,0.7989,2976,2600,1274,3.425,56.5,,14.6,10.5,409.8,418.0,162.5,0.1605,,37.6,37.6,8.85,,94.5,888,36200,7850,10520,8.23,293.5,224.0,7.19,7.9,57.6,0.0177,71.5,16.1,,693.0,4010.0,8690,1640,7.15,153.0,558.2,12.06,5.57,3.55,32.87,,448.7,278.5,215.0,,4458.0,10350,1460,680,17.2,16.1,85.9,0.25,10.0,0.1802,0.2715,0.1582,0.0305,0.03215,0.02745,0.326,2.1515,0.9,81.15,124.89,142.0,273.05,202.0,179.2,252.0,306.5,81.0,67.0,22.98,139.66,5.835,1815,579,148.5,1027.0,0.681,18.8,4200,1019.0,7962,770.0,8342.0,115.8,118.6,376.0,875.8,,37000,,305.5,287.0,154.0,47.63,0.1246,5900,89.0,0.678,112.6,372.8,46.8,26800,67.0,64.0,0.546,0.539,56.335,53.7,15.8,1.212,1.2,0.139,0.0978,135.2,128.49,40.66,614.4,8.219,390.0,2.91,2757.0,26.43,36.25,,157.0,0.702,0.5595,173.0,,21.1,,0.4585,0.4195,414.0,373.0,2135.0,0.00835,0.003785,0.00527,0.00251,715,0.26,0.191,60.38,1243.0,0.5045,89.5,,1056,0.6395,5770,1.475,10700,0.0672,8.28,44.15,,1.85,1280,580,332.8,76.45,167.0,90.0,,57880,3915,4240,94.4,7.96,6.72,,110.85,,0.27,0.265,172,83.5,,2995,3.64
2022-07-08,61.82,176.5,,15.147,28.06,870.0,18540,66.84,21.99,,12.578,525.0,5.69,0.689,,870,1059.0,765.0,2560,7.32,800,71.61,13.5,,4.995,39.2,5340,822.6,3480,272.6,9.36,7.16,,,7.59,0.899,,1670,5.28,,,492.0,62.9,,0.0914,30.77,1196.0,320.0,39.46,,201.87,,,2674.5,,67.4,420.0,303.9,168.0,,937,8.47,,0.803,3000,2526,1277,3.47,62.88,,15.65,10.5,405.8,419.2,161.0,0.1605,0.299,37.6,37.8,8.83,,92.0,876,36200,7800,10540,8.27,299.0,224.0,7.16,7.8,56.9,0.01747,70.9,16.37,,696.5,3980.0,8640,1680,7.07,152.15,551.0,12.09,5.65,3.39,32.28,,458.0,279.0,209.0,,4448.0,10450,1470,688,17.2,16.1,85.75,0.2478,10.08,0.1819,0.2685,0.153,0.03065,0.03235,0.0278,0.325,1.997,0.885,82.0,123.72,143.85,275.05,203.9,178.2,250.0,311.0,80.1,67.5,23.0,138.2,5.565,1850,583,148.5,1002.8,0.603,19.94,4395,1033.5,7940,759.9,8496.0,115.5,119.6,373.5,883.0,,37200,,335.0,302.0,152.0,47.63,0.1276,5830,91.0,0.683,111.2,356.5,44.8,,66.62,65.05,0.544,0.532,56.285,50.7,15.78,1.214,1.2,0.15,0.0984,133.98,126.99,40.67,615.0,8.275,391.75,2.9,2709.0,26.28,36.2,,147.4,0.691,0.56,177.5,,21.25,,0.453,0.381,409.9,368.9,2053.0,0.008496,0.003665,0.00525,0.0025,715,0.256,,62.12,1239.5,0.498,88.5,,1034,0.64,5900,1.479,10680,0.0664,7.96,44.15,3.49,1.8,1330,561,341.6,75.95,173.0,86.0,,58300,4000,,94.69999999999999,7.94,6.64,,110.95,,0.272,0.267,172,83.5,,2945,3.645
2022-07-11,62.0,177.5,,15.045,27.9,845.0,18462,66.84,24.0,,12.548,516.5,5.74,0.6885,,855,1046.0,748.0,2599,7.6,800,71.98,13.7,,4.925,39.0,6520,819.4,3485,280.0,9.3,6.9,,,7.58,0.88,1850,1580,5.32,,,492.0,61.0,,0.0904,30.67,1158.0,318.4,39.8,,199.43,,,2674.5,,67.55,409.9,296.4,168.98,,989,8.47,,0.803,2898,2422,1277,3.4455,59.28,,14.45,10.48,401.0,423.0,175.5,0.16,0.311,37.6,37.6,8.89,,91.8,863,35200,7800,10640,10.94,297.5,227.5,7.15,7.82,58.3,0.01742,70.6,16.09,,696.0,3920.0,8670,1590,6.97,150.45,550.0,12.09,5.43,3.2,31.825,,445.2,289.5,224.0,,4430.0,10500,1455,686,18.3,16.3,86.1,0.2496,10.04,0.1806,0.2715,0.1528,0.03125,0.03195,0.0276,0.328,1.95,0.8845,80.8,123.27,142.35,247.55,206.5,179.0,244.0,314.5,81.0,67.5,22.94,138.5,5.27,1785,581,147.0,997.8,0.585,19.6,4835,1110.0,7950,755.0,8673.0,116.6,119.6,373.0,880.0,,37200,,319.0,299.7,152.0,47.61,0.1266,5960,90.4,0.689,111.8,355.9,44.2,23500,67.78,66.5,0.552,0.537,56.975,50.9,15.46,1.22,1.204,0.15,0.0968,133.9,127.18,40.24,655.0,8.16,390.3,2.9,2690.0,25.96,36.09,,157.0,0.7045,0.56,179.5,,21.2,,0.4645,0.4035,408.1,362.9,2090.5,0.0086,0.003795,0.0055,0.00251,715,0.259,0.1925,62.88,1250.0,0.51,88.0,,1086,0.6295,5750,1.476,10720,0.0658,7.97,42.95,3.405,,1298,564,332.8,76.95,179.6,88.4,,57800,3855,4240,94.35000000000001,7.92,6.62,,110.9,,0.2725,0.267,174,83.0,,2945,3.57
2022-07-12,61.98,174.0,,14.664,27.78,825.0,18396,65.18,24.895,,12.64,512.0,5.73,0.687,,845,1010.0,715.5,2476,7.29,800,69.94,13.4,,4.823,39.6,5880,808.6,3420,269.6,9.28,6.74,,,7.57,0.861,1840,1560,5.28,,,470.5,59.88,,0.08856,30.99,1134.0,306.0,38.2,,193.0,,,2647.0,,67.6,390.8,287.9,162.54,,913,8.55,,0.8069,2896,2380,1277,3.397,58.0,,14.15,10.5,399.4,412.6,164.5,0.1595,0.305,37.6,37.2,8.89,,90.7,894,35200,7650,10360,8.87,297.0,238.0,7.2,7.84,56.9,0.01721,71.7,16.16,,698.0,3846.0,8370,1505,6.98,147.4,530.8,12.1,5.2,3.08,30.78,,435.0,288.5,212.5,,4369.5,10270,1510,678,14.4,14.1,84.39,0.2454,9.9,0.1802,0.274,0.1536,0.03095,0.03195,0.0273,0.325,1.872,0.879,79.7,117.0,136.2,239.6,197.7,179.2,243.5,314.0,82.5,65.48,22.88,136.48,5.09,1790,581,147.0,967.8,0.5542,19.6,4615,1105.0,7736,729.8,8567.0,114.4,119.0,364.9,868.8,,,,305.0,287.5,180.0,46.87,0.1278,6500,90.0,0.7184999999999999,111.6,342.9,44.2,24900,66.54,64.45,0.588,0.548,54.3,57.0,15.8,1.39,1.372,0.1428,0.0936,129.35,123.2,39.58,750.0,8.074,387.2,2.87,2589.5,25.15,35.9,,148.1,0.7,0.5535,179.5,,20.8,,0.453,0.3855,399.9,355.9,1994.0,0.00815,0.00379,0.00529,0.00252,710,0.259,0.185,70.48,1267.0,0.494,88.5,,1062,0.615,5670,1.445,10700,0.064,8.52,41.9,3.385,1.77,1251,566,322.8,75.5,178.6,86.4,,57480,3850,,92.37499999999999,7.86,6.52,,108.35,,0.273,0.2665,174,83.0,,2940,3.53
2022-07-13,61.94,184.5,,14.47,27.54,834.0,17920,65.19,25.175,,12.578,502.5,5.61,0.712,,840,996.0,688.5,2398,7.49,796,69.24,13.65,,4.742,44.6,5660,785.0,3320,263.6,9.04,6.68,,,7.49,0.867,2150,1670,5.28,,,462.5,59.22,,0.08852,30.46,1144.0,307.3,38.15,,194.0,,,2666.0,,67.55,402.7,291.0,160.2,,871,8.21,,0.801,2896,2500,1284,3.2745,54.82,,14.2,10.42,393.8,405.6,151.0,0.1605,0.306,37.2,37.8,8.75,,89.8,856,35200,7700,10280,8.73,295.0,221.5,7.12,7.78,58.2,0.0172,71.9,16.05,,690.0,3767.0,8270,1505,6.89,145.95,554.8,12.24,5.47,3.09,29.97,,421.9,282.0,207.5,,4328.0,10310,1440,672,13.5,12.2,84.59,0.247,9.84,0.1795,0.2685,0.149,0.03055,0.03195,0.02735,0.324,1.8165,0.8835,78.95,116.27,134.35,238.95,193.9,178.0,236.0,314.0,83.0,64.8,22.24,133.02,5.06,1760,567,146.5,949.0,0.533,19.48,4785,1098.5,7388,746.0,8388.5,113.9,118.8,344.8,867.2,,37200,,305.0,285.4,158.0,46.54,0.127,6400,86.6,0.667,111.4,335.45,44.0,23300,65.75,64.45,0.588,0.547,53.0,54.0,15.8,1.286,1.37,0.1376,0.0904,129.95,123.5,38.94,797.6,7.857,383.95,2.87,2726.0,25.01,35.435,,137.1,0.7045,0.56,182.5,,20.8,,0.453,0.3725,392.4,352.4,1987.0,0.008064,0.003655,0.00524,0.00249,715,0.255,0.183,72.58,1257.5,0.4815,86.5,,1068,0.608,5640,1.442,10660,0.065,8.4,40.75,,1.715,1266,565,323.8,76.1,161.6,75.2,,56900,3895,4240,92.14999999999999,7.88,6.66,,110.75,,0.2715,0.26,172,83.5,,2855,3.47
2022-07-14,58.6,176.0,,13.75,27.38,785.4,16840,64.25,24.3,,12.49,508.0,5.55,0.696,,835,979.5,664.0,2411,7.28,788,68.8,13.6,,4.615,42.0,5540,770.0,3600,256.4,8.98,6.48,,,7.54,0.864,1870,1570,5.26,,,432.0,55.48,,0.08896,28.99,1149.0,294.0,37.02,,188.1,,,2619.0,,67.05,386.8,286.75,154.8,,899,8.11,,0.7936,2890,2398,1303,3.3,48.16,,13.9,9.94,387.0,399.2,135.0,0.1605,,37.0,37.6,8.62,,88.1,834,35000,7550,10180,8.41,288.0,,7.33,7.68,57.8,0.01725,70.9,15.92,,685.0,3710.0,7980,1460,6.87,144.7,540.0,12.15,5.33,2.98,29.18,,390.0,284.0,203.0,,4285.5,10130,1420,662,12.9,11.7,83.46,0.248,9.84,0.1794,0.267,0.144,0.03115,0.03155,0.02775,0.316,1.78,0.875,77.05,114.95,130.75,235.0,191.9,176.6,225.5,311.5,80.7,64.7,22.34,131.2,4.8,1785,565,146.0,946.8,0.5025,18.75,4175,1071.5,7370,731.4,8342.0,114.8,118.6,327.5,864.8,,36200,,295.0,273.0,156.0,45.4,0.127,6090,84.6,0.67,111.6,324.75,43.8,23400,64.05,62.85,0.554,0.536,51.145,50.8,15.86,1.23,1.3,0.1238,0.0956,128.0,121.84,36.42,780.0,8.163,373.05,2.92,2666.5,24.84,34.86,,125.0,0.7,0.5545,173.0,,20.65,,0.48,0.447,389.0,347.0,1932.5,0.00799,0.00356,0.00534,0.00247,705,0.247,0.1845,71.0,1231.0,0.47,85.0,,1108,0.5815,5570,1.431,10780,0.0622,8.8,41.0,3.49,1.845,1219,549,312.2,82.75,157.6,60.2,,58860,3895,4160,91.0,7.66,6.42,,107.45,,0.2695,0.2595,174,84.0,,2850,3.4
