begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01,55.86,169.5,,14.2,26.02,846.0,18000,65.9,19.62,,12.33,495.5,5.53,0.687,,805,1100.5,848.0,2265,7.09,810,70.0,12.9,,4.932,34.4,5480,810.0,3180,264.4,9.42,7.98,,,7.07,0.886,1840,1720,5.22,,,463.5,57.2,,0.08888,28.18,951.5,288.0,37.92,,186.2,,,2580.0,,66.8,370.1,303.0,170.0,,890,8.34,,0.7781,2922,2284,1183,3.2985,44.58,,13.85,9.8,397.0,410.0,161.0,0.1585,0.291,38.2,35.2,8.6,,85.2,834,34800,7800,9980,8.18,290.0,216.0,7.1,7.56,55.0,0.0165,68.8,15.51,,650.0,3876.0,7700,1400,6.88,135.5,539.0,12.02,5.35,3.36,31.32,,388.0,277.0,204.5,,4155.0,10210,1370,658,16.8,16.1,84.03,0.2386,9.54,0.1683,0.266,0.1558,0.02985,0.03015,0.0262,0.316,1.9925,0.855,77.05,118.8,135.35,269.05,183.8,166.4,245.5,313.0,76.15,62.4,22.78,131.08,5.285,1780,545,143.5,1009.6,0.6308,17.4,4000,814.0,7698,713.0,8362.5,113.1,114.6,364.0,851.2,,,,284.5,286.0,150.0,42.09,0.1212,5500,83.8,0.655,110.8,373.75,43.6,,61.51,60.8,0.52,0.525,52.11,51.8,15.24,1.21,1.176,0.085,0.0876,122.5,118.59,39.04,597.0,7.875,393.2,2.76,2610.5,23.77,34.86,,165.0,0.6905,0.5455,171.5,,20.1,,0.4515,0.3815,421.0,380.0,1731.5,0.00876,0.00363,0.005,0.00248,680,0.259,0.187,54.56,1172.5,0.456,87.0,,964,0.6015,5700,1.439,10040,0.0608,6.6,40.55,,1.675,1284,565,292.0,65.9,162.0,88.2,,57200,3760,4180,86.575,7.68,6.52,,103.0,,0.273,0.2685,170,82.0,,2830,3.45
2022-07-04,56.3,171.5,,14.55,26.54,850.4,18320,64.16,20.46,,12.3,473.5,5.52,0.6895,,825,1098.5,867.0,2300,7.15,752,69.36,13.2,,5.006,36.2,,830.0,3205,266.6,9.3,7.3,,,7.26,0.879,1820,1570,5.24,,,460.5,57.18,,0.0905,31.2,957.0,285.0,40.0,,181.2,,,2604.0,,66.5,385.0,307.0,168.4,,944,8.4,,0.795,3048,2250,1208,3.4485,54.7,,13.8,9.7,395.0,412.2,160.0,0.157,0.293,37.8,37.0,8.44,,89.3,806,35200,7750,10100,8.26,286.5,213.0,7.08,7.38,55.6,0.01611,70.5,15.81,,669.0,3944.0,7540,1415,6.8,137.2,555.4,12.01,5.26,3.39,31.3,,394.8,277.0,204.0,,4155.0,10070,1410,654,16.3,16.0,84.8,0.2426,9.52,0.17,0.265,0.1568,0.02975,0.03105,0.02665,0.324,2.0605,0.88,78.1,120.55,132.7,278.5,186.3,174.0,247.0,308.0,75.8,63.78,22.78,133.46,5.28,1680,560,147.0,1011.2,0.6351,17.67,3985,850.0,7210,735.1,7855.5,112.5,116.4,353.5,860.0,,,,278.5,278.5,152.0,42.5,0.1212,5980,87.6,0.663,111.0,367.5,44.2,23200,65.53,62.95,0.542,0.526,52.505,52.8,15.1,1.19,1.18,0.093,0.0866,127.16,123.3,39.13,603.2,7.95,398.1,2.805,2705.0,25.13,35.635,,159.6,0.68,0.538,171.0,,20.75,,0.4505,0.3965,423.7,381.6,1867.0,0.00893,0.003625,0.00513,0.00244,695,0.259,0.185,59.1,1206.0,0.465,88.0,,1006,0.6345,5730,1.314,10220,0.0627,6.8,40.8,3.5,1.71,1288,573,301.6,66.1,162.2,89.4,,57580,3795,4260,88.80000000000001,7.72,6.56,,105.5,,0.281,0.2685,172,82.5,,2925,3.38
2022-07-05,55.8,171.0,,14.8,26.76,811.4,17164,63.0,21.205,,12.25,468.0,5.5,0.69,,830,1141.5,854.5,2284,7.16,775,67.28,13.2,,5.004,37.6,5360,802.0,3245,266.6,8.94,7.04,,,7.15,0.855,1820,1490,5.16,,,492.0,56.9,,0.0889,30.69,1016.0,285.1,40.05,,185.2,,,2601.5,,66.55,368.0,302.45,158.26,,933,8.47,,0.7906,2902,2324,1216,3.355,50.3,,13.9,9.98,390.2,412.0,152.5,0.1575,0.304,,37.0,8.45,,86.0,839,35000,,10260,8.25,285.0,213.0,7.08,7.52,54.9,0.01603,70.0,15.81,,670.5,3905.0,7550,1415,6.8,137.1,533.0,11.36,5.25,3.42,30.83,,397.8,273.0,203.5,,4172.5,10120,1400,652,16.8,15.8,84.26,0.2426,9.66,0.17,0.262,0.1444,0.02985,0.0309,0.02695,0.326,2.0125,0.8765,79.0,118.53,130.0,275.25,187.0,175.6,246.0,302.0,75.95,63.5,22.44,132.48,5.235,,552,145.0,963.0,0.6404,17.71,3975,836.0,7440,720.0,7925.0,112.9,116.8,346.0,862.0,,37200,,280.5,258.0,150.0,41.15,0.1218,6060,87.4,0.662,111.0,365.05,42.4,,64.51,62.45,0.522,0.512,55.9,52.7,14.98,1.192,1.18,0.0904,0.0894,131.43,126.11,39.0,601.2,8.007,391.7,2.84,2611.0,25.235,35.8,,154.2,0.6565,0.539,172.0,,20.7,,0.4435,0.3815,422.1,379.4,1980.0,0.007682,0.00357,0.00512,0.00246,695,0.257,0.1845,58.3,1200.5,0.466,88.0,,1004,0.616,5620,1.39,10360,0.061,7.0,40.7,3.4,1.74,1280,563,308.0,67.6,162.2,85.6,,56060,3750,4160,92.47500000000001,7.84,6.64,,107.75,,0.2685,0.2605,170,82.5,,2895,3.43
2022-07-06,56.1,170.5,,14.865,27.2,820.6,17502,64.67,21.21,,12.3,479.5,5.45,0.683,,830,1130.0,837.0,2303,7.09,782,68.8,13.0,,4.991,37.2,5260,820.4,3240,263.2,9.12,6.96,,,7.2,0.853,1845,1530,5.18,,,477.0,58.54,,0.08902,30.39,1028.5,288.0,39.0,,194.44,,,2614.0,,66.5,380.1,295.0,162.82,,894,8.47,,0.7928,2870,2448,1230,3.388,41.12,,14.1,10.12,393.6,411.6,158.0,0.1575,,37.0,37.2,8.51,,89.2,862,35400,7650,10240,8.06,285.5,216.5,7.08,7.58,54.7,0.0166,70.0,15.77,,671.0,3945.0,7510,1435,6.85,144.3,545.2,11.9,5.36,3.46,30.93,,415.0,275.5,211.0,,4280.0,10220,1400,666,16.5,15.6,85.0,0.2428,9.8,0.1718,0.262,0.1548,0.0299,0.0313,0.0269,0.322,2.0605,0.8825,81.0,123.0,134.5,267.6,188.8,175.4,246.0,295.5,77.2,64.8,22.54,135.6,5.235,1755,552,145.0,965.0,0.6661,17.74,,851.0,7556,735.0,7980.0,114.0,117.2,352.1,851.8,,36000,,282.0,272.05,150.0,43.37,0.1212,5600,87.2,0.661,110.8,368.4,44.2,24000,64.54,62.4,0.53,0.516,55.2,51.8,14.96,1.2,1.19,0.1024,0.0888,132.5,126.0,39.1,605.4,7.9,394.05,2.8,2700.0,26.005,36.05,,150.2,0.67,0.535,172.0,,20.8,,0.451,0.373,423.0,381.6,2052.5,0.00794,0.003515,0.00516,0.00245,700,,0.1845,58.0,1213.0,0.484,88.0,,1012,0.61,5690,1.44,10100,0.0633,7.52,40.85,3.45,1.75,1274,571,310.6,68.15,164.4,85.8,,55120,3795,4240,92.925,7.84,6.66,,107.0,,0.273,0.258,,82.5,,2920,3.43
2022-07-07,58.02,170.0,,14.76,27.26,836.0,18000,64.53,21.21,,12.356,497.5,5.52,0.685,,845,1115.5,836.0,2311,7.13,782,68.97,13.05,,4.926,37.2,5220,811.0,3235,260.0,9.22,7.0,,,7.28,0.86,1840,1540,5.18,,,471.0,59.02,,0.0894,30.2,1095.5,284.1,39.2,,192.36,,,2645.0,,66.3,385.8,294.5,163.2,,875,8.5,,0.7482,2872,2410,1262,3.352,42.0,,13.7,10.14,398.0,412.6,145.5,0.1585,,37.2,36.8,8.55,,89.0,861,35200,7750,10340,8.08,285.0,213.5,7.09,7.56,55.0,0.01708,70.5,15.84,,677.0,3940.0,8000,1520,6.79,148.15,536.0,11.93,5.29,3.0,31.3,,419.8,278.5,207.5,,4300.5,10190,1405,666,16.2,14.9,85.04,0.245,9.72,0.1777,0.2645,0.141,0.0299,0.03105,0.027,0.318,2.074,0.863,79.5,121.1,138.0,268.1,189.1,175.0,242.0,303.0,76.85,64.54,22.62,136.5,5.415,1775,553,145.0,987.0,0.6563,18.06,4050,872.5,7806,746.8,8009.0,114.6,116.8,354.0,855.2,,36600,,287.0,276.2,150.0,44.27,0.1236,5680,87.0,0.665,110.8,363.1,43.6,23800,65.11,63.15,0.532,0.516,54.245,49.0,15.32,1.198,1.18,0.108,0.089,131.22,125.22,39.39,605.4,8.1,379.55,2.83,2650.0,25.7,35.85,,138.7,0.6595,0.543,171.0,,20.25,,0.454,0.385,403.0,365.2,2014.0,0.0081,0.003565,0.0051,0.00247,695,0.25,0.184,58.7,1224.0,0.4875,86.5,,1020,0.606,5700,1.44,10320,0.0645,7.6,40.05,,1.765,1270,550,321.8,69.35,163.4,81.0,,57120,3840,4240,92.5,7.84,6.5,,107.05,,0.269,0.256,170,82.5,,2790,3.51
2022-07-08,59.12,172.0,,14.83,27.42,769.4,18322,64.95,21.3,,12.442,498.0,5.5,0.687,,855,1017.5,716.0,2370,7.2,788,69.52,13.0,,4.859,38.0,5140,811.0,3235,267.0,9.24,6.84,,,7.33,0.86,,1550,5.18,,,476.0,59.84,,0.08942,30.27,1102.0,301.0,39.05,,196.57,,,2641.0,,66.6,400.3,293.0,165.16,,900,8.4,,0.7863,2818,2416,1271,3.3605,48.92,,14.1,10.34,399.2,414.0,154.0,0.159,0.299,37.6,37.2,8.69,,90.2,858,35200,7800,10400,8.18,286.5,224.0,7.0,7.62,56.5,0.0171,69.0,15.81,,679.5,3902.5,8210,1535,6.85,149.9,538.0,11.93,5.3,3.05,31.4,,437.3,274.0,208.5,,4359.0,10300,1455,666,16.6,15.1,85.07,0.2456,9.76,0.1781,0.266,0.1504,0.02995,0.03095,0.0272,0.322,1.795,0.8585,78.5,121.23,138.5,269.7,196.6,175.6,242.0,300.5,78.6,65.5,22.5,135.6,5.45,1765,553,146.0,981.0,0.5621,18.65,4010,951.5,7825,742.0,8120.0,114.0,117.0,357.7,850.0,,37000,,303.0,279.05,150.0,45.81,0.1238,5720,88.0,0.6639999999999999,110.8,343.0,43.4,,64.6,63.65,0.536,0.516,54.75,48.5,15.2,1.194,1.198,0.11,0.0904,130.9,124.44,39.52,604.0,8.1,385.0,2.85,2610.0,25.42,35.515,,139.0,0.657,0.545,171.0,,20.2,,0.4465,0.3765,400.3,357.9,1957.0,0.008152,0.00359,0.00512,0.00248,705,0.256,,58.98,1225.0,0.4865,87.5,,1012,0.617,5630,1.46,10500,0.0644,7.55,41.0,3.4,1.765,1270,555,323.2,71.5,163.0,80.0,,56800,3845,,93.10000000000001,7.86,6.5,,108.0,,0.262,0.2605,172,83.0,,2845,3.565
2022-07-11,59.7,171.5,,14.76,27.12,809.2,17624,65.11,21.35,,12.436,504.0,5.52,0.6845,,830,1010.0,715.0,2432,7.15,786,69.37,13.3,,4.78,37.2,5340,800.0,3300,265.0,9.1,6.64,,,7.39,0.85,1845,1550,5.16,,,465.0,58.52,,0.0872,29.71,1129.5,301.8,37.9,,188.79,,,2613.0,,66.65,384.4,281.15,161.12,,894,8.38,,0.7942,2722,2390,1272,3.3555,54.7,,13.95,10.18,394.8,406.8,153.0,0.159,0.307,37.4,37.2,8.76,,89.3,862,35200,7650,10340,8.23,286.5,217.0,7.09,7.44,56.0,0.01703,69.0,15.61,,681.0,3802.5,8160,1480,6.82,147.05,526.2,11.83,5.14,3.0,30.66,,408.2,277.5,207.0,,4282.5,10300,1425,668,15.4,15.1,84.0,0.241,9.6,0.1781,0.268,0.151,0.03,0.031,0.02695,0.32,1.83,0.8705,79.4,116.82,135.95,237.05,195.1,177.2,238.0,306.0,78.85,64.74,22.0,135.5,5.005,1785,555,145.0,963.6,0.555,18.65,4090,1006.0,7675,723.7,8280.0,113.9,116.0,359.4,860.0,,36800,,301.5,283.0,148.0,46.3,0.1242,5750,88.0,0.6645,111.0,343.05,43.6,23400,65.26,63.9,0.536,0.52,54.245,48.6,15.08,1.208,1.198,0.13,0.0928,126.42,121.5,39.4,616.2,7.99,384.0,2.805,2556.5,24.985,35.7,,139.8,0.6655,0.545,176.0,,20.05,,0.4495,0.382,400.0,355.5,1970.0,0.00813,0.003565,0.0051,0.00248,700,0.258,0.1865,60.2,1231.5,0.481,86.0,,1016,0.5955,5670,1.42,10700,0.062,7.57,41.1,3.385,,1216,555,321.0,67.05,166.0,82.0,,57020,3850,4240,91.35000000000001,7.86,6.58,,107.0,,0.2675,0.2015,172,82.5,,2815,3.495
2022-07-12,59.7,171.0,,14.04,27.14,788.2,17400,63.52,22.01,,12.44,495.0,5.52,0.683,,830,975.5,681.5,2300,7.25,790,68.05,13.2,,4.68,38.4,5420,770.6,3250,261.8,8.9,6.4,,,7.35,0.85,1840,1530,5.22,,,450.5,52.58,,0.0861,28.44,1071.0,294.5,37.0,,184.0,,,2602.0,,66.6,371.0,275.25,159.0,,855,8.09,,0.7905,2714,2352,1270,3.2215,49.04,,13.7,10.16,390.4,400.0,155.5,0.158,0.304,37.0,35.2,8.6,,87.6,846,34800,7650,10120,8.28,285.0,214.5,7.01,7.46,55.9,0.01704,68.7,15.44,,677.5,3713.0,8090,1425,6.71,141.8,507.8,11.87,5.14,3.0,29.5,,405.2,276.0,209.5,,4250.0,10190,1475,666,12.9,11.7,81.71,0.24,9.42,0.1736,0.2665,0.1458,0.0299,0.0308,0.02665,0.317,1.7505,0.8585,77.35,112.98,131.95,227.2,189.3,174.6,231.0,301.5,78.8,63.14,22.2,132.4,4.9,1785,559,143.0,913.0,0.5112,18.01,4095,955.0,7255,711.0,8129.0,112.3,115.0,330.3,841.4,,,,296.5,280.0,148.0,44.59,0.1214,5910,84.8,0.6519999999999999,111.0,327.6,43.8,23000,63.35,63.25,0.53,0.52,52.0,49.4,15.2,1.2,1.194,0.1268,0.0904,124.2,118.99,38.02,626.6,7.585,375.25,2.84,2470.0,24.325,34.515,,131.2,0.654,0.547,176.0,,19.95,,0.4405,0.37,386.0,341.3,1892.0,0.007912,0.003605,0.0051,0.00246,695,0.258,0.18,59.5,1214.5,0.47,85.0,,1018,0.5925,5580,1.425,10560,0.0617,7.52,40.0,3.35,1.685,1200,544,304.2,68.2,164.0,83.0,,56060,3840,,90.25,7.66,6.4,,105.55,,0.264,0.2555,172,83.0,,2765,3.455
2022-07-13,58.0,171.5,,13.301,26.4,740.4,16500,63.62,22.2,,12.4,490.5,5.5,0.679,,825,953.0,656.0,2330,7.05,761,67.7,13.2,,4.567,38.4,5220,748.0,3200,225.0,8.92,6.38,,,7.23,0.847,1825,1540,5.14,,,425.0,51.12,,0.0855,27.56,1091.5,287.0,36.04,,185.3,,,2550.0,,66.5,375.0,280.0,150.6,,830,8.07,,0.7905,2824,2330,1261,3.163,46.16,,13.55,9.9,380.0,399.0,134.0,0.1575,0.3,37.0,36.2,8.55,,85.5,826,34400,7550,10040,8.33,287.0,217.0,7.0,7.6,55.3,0.01695,69.5,15.26,,658.0,3619.0,7790,1410,6.71,143.8,505.2,11.8,4.95,2.95,28.235,,384.0,272.0,201.0,,4250.0,9840,1385,652,13.0,11.6,80.77,0.243,9.56,0.1746,0.265,0.141,0.03,0.03115,0.0266,0.316,1.755,0.864,75.8,110.9,119.95,231.0,185.2,174.0,212.5,300.0,79.05,63.52,21.82,128.1,4.77,1700,555,145.5,905.2,0.4862,17.3,4010,1023.5,6931,717.1,7862.0,113.0,115.2,312.0,853.6,,36000,,283.0,262.0,150.0,44.05,0.1244,5750,82.8,0.653,111.0,317.1,43.2,22800,63.13,60.85,0.534,0.515,50.11,49.7,15.02,1.238,1.212,0.116,0.0868,125.36,119.41,36.1,700.8,7.5,367.35,2.795,2528.5,24.175,34.56,,121.6,0.6545,0.5425,172.0,,19.55,,0.44,0.371,370.3,333.4,1863.0,0.00784,0.0035,0.00511,0.00244,685,0.253,0.18,66.32,1211.0,0.457,84.0,,1014,0.56,5490,1.399,10300,0.0582,7.89,36.45,,1.695,1151,542,301.0,70.0,154.4,58.0,,55200,3830,4180,88.85000000000001,7.62,6.36,,105.8,,0.2605,0.2575,172,83.0,,2800,3.305
2022-07-14,55.2,172.5,,12.9,26.6,735.0,15600,62.66,22.44,,12.312,494.5,5.47,0.679,,820,930.0,632.5,2320,6.52,733,67.57,13.15,,4.455,37.2,5360,738.2,3175,240.0,8.86,6.36,,,7.33,0.841,1860,1520,5.14,,,408.5,51.52,,0.0854,27.7,1107.0,285.0,34.71,,183.11,,,2522.0,,66.1,375.0,262.8,150.0,,820,8.02,,0.78,2716,2284,1281,3.182,44.0,,13.65,9.72,361.0,375.0,130.0,0.1575,,37.0,37.4,8.55,,84.7,825,34600,7550,9980,8.23,283.5,,7.11,7.44,52.6,0.0168,67.5,15.32,,662.0,3551.0,7630,1375,6.73,141.4,517.8,11.8,4.97,2.94,27.8,,371.8,276.5,202.5,,4182.5,9970,1380,640,12.2,10.6,81.1,0.2442,9.42,0.1764,0.2625,0.1402,0.03015,0.03115,0.02695,0.307,1.7505,0.861,75.3,111.56,124.45,228.85,186.5,174.6,212.5,301.0,76.95,63.5,21.54,126.02,4.64,1700,561,144.0,911.2,0.4833,17.44,4025,1010.5,7023,715.2,8071.0,112.2,115.8,300.1,854.2,,36200,,282.5,262.0,150.0,43.5,0.125,5850,79.8,0.647,110.4,311.5,42.0,23000,62.8,61.65,0.534,0.522,48.27,49.9,15.2,1.172,1.258,0.1136,0.0866,124.61,118.2,34.8,645.0,7.41,360.0,2.81,2587.5,23.805,33.315,,118.0,0.6555,0.54,168.5,,19.7,,0.4435,0.363,366.6,330.5,1865.0,0.007804,0.003475,0.00485,0.00243,695,0.247,0.178,67.02,1190.5,0.4575,80.0,,1010,0.561,5420,1.353,10000,0.058,8.08,37.6,3.335,1.695,1119,542,297.0,73.5,150.0,55.0,,53160,3800,3940,88.675,7.24,6.3,,102.15,,0.268,0.251,172,83.0,,2700,3.335
