begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01,9061161.0,3371415,,800070134.3,135396783.4,43947286.4,102197744,841793004.8,63526780.0,,1084310.16,4162830.5,52628,32206.5,,80835,17984830.0,109141878.5,23437707,1301174,541784,22255170.0,95845,,356438988.3,464120,5480,693828091.6,599225,2475806.8,7282222,28049330,,,2443000,946575,7420,343330,1387946.2,,,89528840.5,9891992.96,,89219979.4,91272171.0,61447189.0,16654169.6,36678373.9,,22242591175.1,,,15142379.0,,248795.0,3185123.6,23148281.05,1583551980.0,,3218636,688753,,139271645.1,1257252,731924,35561355,430162547.75,211515272,,93080,43550,5010416,928258,661610,3175,5830,8830,99912,329355,,7753395,101471,351400,39300,11372200,198870,242330,83815,161561,255656,83245,282570.2,2211155,2291740.1,,3639232.5,1995358044.0,2307980,1662110,2232534,28625164.5,130877952.4,82483,47160,182856,334916855.25,,9164810.9,8330,47610,,318088224.0,6785740,136975,483310,1603920,1961880,310870597.7,9952261.2,27453142.4,14526040,492770,3866192,1337213.5,813141.0,2656850.0,246310,32351817.5,8252367.5,470506.0,271364088.39,97064130.0,470146039.5,36344573.9,440002,1109875,942485,4665115.5,8716542.6,250460,455401842.4,9837344.5,1780,50485,347695,1692865494.8,203458508.9,1821335.9,36190,82047978.0,432277667,821158410.3,853408565.0,435560,369654,226056978.1,26929502.4,,,,9783451.5,133497208.0,479160,4261614.6,715483.6,3058990,19762933.8,2017157.5,200926,2595412050.9,343242,,150096415.4,17637786.5,218186,159325,122673359.55,541791,1148090,95188,198408,251410,6192,7809271635.9,1033566813.1,31730514.9,1500032.0,90323630.0,201192813.35,593907.0,510774214.0,1680514328.5,1281988429.0,,18908420.7,27207.0,3667844.0,1251445.0,,4288012.55,,30518.0,106595,252445431.3,145401711.1,271531715.5,53150993.0,1625410,489323,370960,137290,25950,3745,64165135.4,78124950.0,3803807.5,543075,,311964,16244386.5,206460,74663516,577980,519234,1790028,951079.0,,415150,31099,197307,100349571.2,419349.5,1771218,2284764,,20910460,15195,25440,600561598.0,90124,140858,,4842215.5,,58550,13650,10240,30435,,1472265,171825
2022-07-04,11274502.2,3139485,,504082601.1,109467642.6,47796858.4,101970336,573081202.9,83929642.5,,1254518.52,9336361.0,248504,9096.0,,92605,48878773.5,307266899.5,22334651,601347,792275,13120377.5,300665,,181282289.7,1015010,,369982451.4,193840,2237338.6,1434574,11425574,,,930283,715633,72905,1564960,208768.4,,,76392284.0,9493016.28,,36117470.0,220057747.0,106612224.0,35339895.7,38283342.9,,15535554688.7,,,16163279.0,,541361.0,3135780.9,29955334.45,1141524988.0,,6173448,244044,,59728748.7,957100,670878,20168264,221955395.75,632544178,,195270,916412,4461202,1117690,341395,14270,41830,5322,19726,440960,,11636531,579832,880000,132350,4774220,16588,153830,30210,341817,119994,128096,249905.6,3587396,2157825.3,,1993676.0,1688102730.5,1599770,1738580,2358741,46701564.0,80959341.2,32697,23209,93843,305946877.15,,9412373.7,159260,66255,,326599744.5,836860,43200,1362816,349860,1129080,157897876.7,7689124.2,42288531.8,8709958,353990,4853520,869812.0,334288.5,1980772.0,78830,22986157.5,3188853.5,2444669.0,174640179.38,59888960.0,616070636.5,31199903.2,166196,258145,1981680,2653420.5,6744149.0,133842,216932370.2,12479953.0,21000,560,446725,1978674901.6,188078008.4,1438681.7,20060,75130187.0,1075481926,614512840.4,1361771500.5,1119460,177998,280457420.0,28750016.6,,,,28879639.0,113593395.0,123140,7277943.6,899424.0,637180,9867710.6,1080196.0,36690,923181462.4,69614,95200,85413747.2,17563305.5,85930,186195,201245640.5,1059739,1105500,26354,27170,72502,6128,6244209442.1,657473349.6,19324929.1,1454080.0,82250721.0,121134498.8,500329.0,157798418.5,409929827.5,361978344.0,,28501654.9,25373.0,972147.5,737610.0,,1661131.8,,272309.0,169260,316042876.3,89689190.2,571290450.5,29820553.6,1650350,174631,303950,89420,7790,1850,95804756.6,58030750.0,4149091.0,604250,,136794,17185711.5,298480,293271378,389700,112835,4510535,592851.5,17690,17665,50471,95039,206002236.8,328695.5,1496424,1879100,,13690420,31105,4260,752458841.45,85590,98278,,2129976.0,,79785,38505,18960,11595,,1912220,714080
2022-07-05,7487469.0,2981070,,250439785.4,181704169.8,63770578.8,195810230,695797460.8,8803550.5,,28475795.78,8866849.0,131931,20148.5,,20030,17208492.5,212827554.5,31219616,593307,346364,20296326.8,55775,,223382634.2,888178,32320,522106866.8,2040145,3170943.8,2007050,7661772,,,361868,1803274,33065,570810,169238.2,,,472610778.0,5515325.78,,52799005.4,49876353.0,140693327.5,19870380.8,16683378.0,,14696711693.9,,,8377904.5,,187823.5,7032450.7,26502397.85,4419215672.0,,3293223,107280,,79100611.9,832624,944608,12036482,286159947.75,699221822,,22410,285620,5770454,576516,239805,169525,6130,,27844,1012801,,19303568,63926,245600,,4156580,36363,175240,45030,283972,56480,415516,94028.5,1920700,1069977.8,,1746969.5,1760896813.5,2617060,3729320,9766437,143089142.5,106117599.8,355835,39482,722387,439766103.4,,36254353.3,114785,111970,,403822167.5,1210260,50655,448298,64560,736310,187428339.8,9414391.2,3223250.6,9761881,637705,14481038,301308.5,125554.0,1142563.5,39730,59749672.0,2218403.0,1254658.0,366620069.64,171146145.5,530097109.5,33471481.1,108816,238480,1476200,3451544.5,17240133.4,350422,207988609.6,15042000.0,,3878,398405,2654024330.0,539991729.4,1660961.8,11935,98687858.5,394806393,408453692.7,857231064.5,675324,345212,411605899.8,97606650.0,,74400,,19218991.5,351973959.0,317940,31007205.2,165601.2,177670,9501928.0,782651.0,103250,982517231.4,677674,,74594271.2,15508615.0,256274,120753,3250158297.1,1174578,1728180,97314,27148,1189224,295688,6901128618.2,784309007.1,22494943.8,630984.0,125482740.5,184522798.1,324812.5,134667753.0,1169201009.0,350838915.5,,27492985.6,23836.5,515066.5,299355.0,,904114.85,,6251.0,200990,377031203.1,82300945.3,657051961.0,311210242.0,1359190,216947,280650,36615,2570,22190,35805653.2,50768450.0,5551930.5,233705,,35438,22832026.5,227770,387196930,138200,265339,4017370,678458.5,89975,52890,97869,316111,103701941.2,452076.5,1707410,1765300,,26509680,83905,50960,1160924358.3,26120,28682,,1219360.0,,139495,74310,15320,4145,,658095,106685
2022-07-06,55416892.8,5011205,,371256364.6,218575765.2,45364247.6,87735742,563219863.8,4254449.0,,2860711.18,4502750.0,368630,88523.5,,395835,11588588.0,257474417.5,22211578,234020,250373,9346082.5,162975,,324462050.2,320290,123120,324762230.6,1824775,5826079.4,575430,6435390,,,347492,1842880,5580,283760,46483.8,,,77717026.0,8522243.98,,36195712.8,39365215.0,127052483.5,13367025.5,21717056.3,,16536536151.0,,,10714620.0,,299704.5,4450656.3,67799061.0,1496053530.0,,8318531,239690,,110313785.5,2154400,436408,18457943,204487465.3,247369858,,55030,312376,8890724,1333932,413605,295885,,30352,55436,246747,,9976254,203916,285800,46200,3673760,224033,46295,132150,283165,79994,14400,487967.7,3602453,1849619.8,,1588604.0,2443548291.0,48974890,30282745,2348632,55022114.5,53735991.4,134866,30566,131616,740372511.95,,11525803.5,185505,141385,,473800756.0,771110,8575,621962,409490,715010,193740761.3,11183068.6,872000.0,15503281,789710,2473378,853005.0,108168.0,2701283.5,38920,29954230.5,3140959.5,249500.0,249375936.56,120636885.0,820391505.0,31025624.3,97986,426010,2141335,2886670.0,17586235.4,68476,351111466.4,12144620.0,157195,44024,218160,1540945360.8,281136399.6,1194943.5,,127581146.0,601128437,194615415.6,752033636.0,304934,215842,629551418.3,45354384.2,,73200,,21167069.5,170735120.5,310200,2815311.4,186114.4,4619260,15790642.4,1516836.5,72026,930292068.25,27434,672000,64141547.7,12022178.0,395000,76597,484299026.55,1296799,754610,18054,11948,999716,274552,6371451571.2,736555660.4,22282242.5,421288.0,74118056.9,186052602.2,743948.5,75354278.5,788244731.5,379765240.0,,32344741.2,42035.5,1358228.5,584930.0,,1654139.35,,43297.5,233445,506346828.4,90105720.4,477794905.5,88858758.4,540765,232526,322610,72385,,3720,32140087.4,135075250.0,4356250.5,182260,,128842,6276687.5,380300,58037713,113160,640606,15390959,683819.0,55270,22900,56327,118536,451160002.8,1122474.5,1638488,1862808,,41870740,30380,21360,596895707.5,37992,123230,,1481268.5,,76860,53265,,4970,,1519170,214195
2022-07-07,24377859.4,5390310,,375531923.6,227550993.4,26555784.2,90460100,280164315.8,4110041.5,,13432334.06,13424260.0,48452,34709.0,,222730,49048319.5,307533369.5,76290380,296581,75871,13307087.9,51915,,261244543.6,283172,42160,283455531.4,1346385,8501081.6,618202,3338240,,,148257,2093729,11095,173140,28378.6,,,37155702.0,20521481.42,,16808707.2,28049212.0,229476787.0,25317177.6,19213165.2,,8590236520.8,,,4116022.5,,303404.5,5208008.6,21456508.0,861587068.0,,7552620,313548,,336763488.3,250580,582830,11596562,195089580.25,926252050,,1116195,273020,3628642,261940,2014080,51300,,13860,37786,306777,,14639547,15687,322400,70250,1831900,97095,112980,17610,35672,59658,41831,96124.6,3080656,1712305.4,,2759986.0,1347187280.5,10490090,15880130,5277866,21134237.0,51462174.0,44402,44913,1206600,548059029.45,,18257213.8,2785,10560,,906468970.5,975000,35925,429138,1020270,2127490,138520455.1,5272205.6,1826650.8,8028733,711765,4451938,663568.5,170018.5,1473717.0,93140,57571513.5,13022088.5,419618.5,177793718.72,39378973.5,462323762.5,119238797.8,131448,945905,1188275,7229808.0,19895187.4,29622,172506020.0,79343399.5,14315,43744,238825,963053039.4,334751928.6,1439495.8,87455,587764550.0,337603992,235079734.4,801437371.5,348430,284282,692885367.5,20786661.2,,147000,,23608833.5,93769513.0,304400,6930292.1,435636.6,542650,18841270.8,811153.0,53374,1368358398.15,344728,98400,60656610.2,7792766.0,41676,26599,294344235.7,3993489,643840,110408,39168,4722222,452192,5736860567.7,452286689.3,30641199.7,365024.0,79398637.8,243411071.55,144735.5,74515320.5,322235616.0,255802663.0,,109865620.0,20363.5,390170.5,1221540.0,,1690135.9,,57478.0,309050,472034161.9,110364477.0,250009240.0,42105862.4,928275,574581,124350,104460,43360,5650,13461971.4,65063050.0,2435726.0,411040,,55928,8386750.0,143050,54087502,31460,338172,7188680,594926.5,,37460,28024,714623,175686332.4,2634646.5,1437164,3046986,,11503020,42860,4240,426306137.0,24548,99202,,3706630.0,,37725,28765,3420,12450,,2837500,186955
2022-07-08,15815620.4,3387875,,180648926.9,124128981.4,107366616.2,26197790,304445553.8,3168256.0,,795009.42,17409252.0,127806,7577.0,,35285,55285309.0,355236394.0,89686891,659358,105032,3216957.2,161325,,260760144.1,282396,159100,187510429.0,3030050,2213860.2,510146,3187986,,,393825,2290931,,80790,16907.0,,,27991275.5,3589809.1,,34486874.0,21241241.0,232481526.0,38700509.7,11062369.2,,5742674292.5,,,6675382.0,,60482.0,2372572.5,31226527.65,636620676.0,,1341719,285425,,97278364.0,493808,149882,4568646,212094907.8,1018118682,,130535,10374,4678152,303386,292445,15980,5980,1128,23682,39327,,3844559,24342,213400,15600,1771320,48612,122865,2240,384941,63854,2841,84797.0,3309026,2199557.5,,1810497.5,1411795022.5,9457630,18621180,2130105,12552745.0,31502526.0,50236,46249,1138077,318906098.05,,21280883.2,35740,6265,,332628542.5,290330,24950,198496,347720,1935480,134459313.3,3480275.4,1197439.6,7849799,163005,1076302,1773801.0,195057.0,775238.0,35570,75944966.0,2643091.5,114747.5,141383146.94,48951515.0,1164050591.0,95364038.8,40740,632595,1044865,2471712.5,9812404.4,74486,129478204.4,46362644.5,5425,24304,120690,690037665.4,351032726.6,4521740.1,172970,564646548.0,212966870,127073077.5,620022060.5,757114,461512,313892484.2,38566640.2,,222400,,88337232.5,560384516.5,22620,3266338.1,194862.4,462970,11604298.6,681127.0,230514,1999605607.3,203792,,56164597.7,15355812.0,9728,76550,142836762.25,1202499,660136,6891540,1607994,4651730,362986,3656551234.1,369261572.4,20833645.9,582492.0,82663150.4,96188732.2,133743.0,64880996.0,261472244.5,302001006.0,,60751943.9,2028.0,368650.0,899395.0,,1544651.1,,10724.5,26490,183312382.2,48156766.1,230138968.0,38244083.8,467840,92583,94890,12800,20480,,23407645.0,43241200.0,1205513.5,121380,,16310,5023415.5,546530,36871198,577900,246382,2522971,471603.0,41035,14260,451163,105515,152939953.8,468147.5,4221722,5532558,,17198300,50785,,348685188.05,14198,62672,,835076.5,,39950,21195,6880,33205,,1949670,61055
2022-07-11,14214923.8,3261305,,245722040.8,120307396.6,40976486.0,56532860,255276187.6,42370720.0,,868657.64,6832288.5,41278,32310.5,,91615,12065976.0,146507948.5,68710225,937672,87475,7139224.6,48635,,226686302.0,322570,3487600,240086379.4,671400,3214796.4,588146,2065192,,,498431,2156660,3695,793940,8942.2,,,40088035.0,5632458.42,,38928233.6,33954947.0,96775975.0,15593453.5,27287678.0,,8974838874.8,,,10892615.0,,77406.5,4671357.2,43699856.9,864337180.0,,1137053,640989,,69078628.1,307876,60316,14303361,184959808.05,257689984,,122355,49704,6128170,1418662,2302440,14340,12350,750,14200,107538,,4270822,5176,105600,46200,1199520,6982029,72685,15400,58308,154412,33470,50282.4,4446745,1230184.3,,1177311.5,2077150988.0,5705460,7068275,2564855,13153087.5,63424004.4,26284,105583,1239760,367006433.6,,29292812.8,213450,238750,,289638682.0,321380,15735,567108,4682900,4699210,187740373.9,6345387.6,2988227.2,6537250,517245,1075550,2647472.5,258924.0,1092569.0,51500,22257791.0,3180885.0,206076.5,192333047.98,34650806.0,1149877447.5,75932414.7,643900,467665,1743335,2440768.0,12606491.2,394116,140007322.0,37538149.5,1785,10847,80385,808608037.8,136866072.5,3064134.3,2113775,937962819.5,296171687,282537662.9,1036558188.0,672245,458678,329497159.0,12416271.0,,221400,,22740007.5,344216302.5,280700,2748536.8,151505.4,1083600,11636093.0,2411081.5,226176,842007859.15,41352,70300,124128388.4,25865614.0,89550,98847,179468862.85,362027,428904,19480,2402,2690698,189784,6951759089.7,571646455.1,17937155.4,5657712.0,100099070.0,98818070.1,143457.0,104407270.5,259959367.5,330047293.5,,131294835.1,5438.5,251885.0,1446600.0,,1873715.35,,57059.5,434130,198693581.6,97389116.7,321316299.5,32955059.0,1650400,407293,79980,39750,10340,3790,27207312.6,103522250.0,2007168.0,136750,,273182,11356628.5,108320,82268065,53520,280521,1175648,518854.0,74855,,523011,144006,78127118.0,1314137.5,12414566,5479522,,9622400,11555,4240,436442970.0,25298,71738,,1473797.5,,13460,299030,10420,21560,,1622985,137480
2022-07-12,7201170.6,2023865,,521639077.5,103752083.0,53972785.6,59954872,269040003.6,106012922.5,,4224159.82,6035304.5,313911,28773.5,,57500,14638155.0,93304265.0,60848804,409117,150264,22945340.4,49355,,491841089.0,501982,377940,425480501.0,1091845,1767843.8,1292640,2418552,,,280251,916356,1840,41660,32708.4,,,71108847.0,15198563.8,,29286660.4,67693817.0,113685285.0,11550125.1,21150776.0,,8807325588.6,,,7044082.5,,92572.0,4562787.6,35627202.3,864239118.0,,1832012,507436,,88242982.7,239410,111016,5316943,382442555.15,218376092,,402040,56244,3146190,1233026,863115,7930,6090,16690,133862,240196,,3394794,208990,350800,15300,2160060,686223,306655,236005,317119,56736,31099,31640.3,3444944,2414833.8,,1487785.5,1892844468.0,1987600,3819730,2911885,21085757.5,57029642.8,118647,25966,271784,458974003.7,,13573236.7,31520,63120,,341928163.5,776000,67140,768028,2592200,6034800,481217128.0,5812248.2,2174415.0,13078427,997500,2123250,2746730.0,230649.5,2480149.5,60750,18693695.0,3408575.5,696844.5,164429100.55,57752552.0,1001260772.5,56673364.4,370750,552120,651110,4519019.5,13423517.0,110160,197376732.2,17880651.5,7150,22078,118340,1830962674.8,178500188.5,3805082.2,672420,583972878.0,563998219,209123497.4,662448816.5,1776791,1592890,405464261.0,22439147.2,,,,10742529.0,147618159.0,1291060,2727274.3,330319.4,5679690,15694105.0,8219402.0,95586,1193811015.75,16264,212700,111133759.3,20844118.0,333592,153613,341695056.15,3184675,207596,5768484,47679568,1835482,233018,7276446907.2,732950141.1,28236537.0,9226568.0,225245322.0,118616017.7,72054.0,110394928.0,280306010.5,665208848.5,,76433267.6,26579.0,193487.0,471120.0,,1353069.45,,47507.0,132655,171995592.5,78572580.7,226944485.0,29333775.2,2147690,121967,119050,67910,7760,104950,274437264.4,229356500.0,3036901.0,282265,,73470,8381604.5,381650,45292495,42640,535396,3199800,596100.0,13505,172485,130973,228515,141699952.8,1285611.0,5904912,5139562,,10963200,11535,,561454551.8,52790,244226,,275131.0,,45405,75500,3460,6640,,1012435,114845
2022-07-13,11103884.6,24695515,,442464009.2,170515683.6,142687723.0,111115326,235195166.0,79447261.5,,2251168.56,4580325.0,115424,102334.5,,38160,7538716.5,56246232.0,34829698,1294322,278465,12824317.0,306185,,341648556.6,8184008,269340,444733920.0,1410655,11046045.8,390522,1135686,,,744321,435495,508740,259900,28552.6,,,86733097.5,28945668.6,,21785891.2,40572163.0,141025764.0,13526666.3,21177773.7,,6260334482.6,,,7710788.5,,212670.5,2541477.6,27317474.25,1956998104.0,,3144112,142243,,44561036.1,174142,344022,7335838,258225426.45,157761788,,291800,189920,9417996,1314950,1696070,94925,24140,1112,72008,145347,,6545766,28384,661000,60950,4448440,161204,104590,8800,331775,62968,72779,64241.8,1830023,1400954.7,,2369549.5,2146799406.0,2811530,3146585,958434,10611077.5,166959961.8,262586,177788,704062,699618499.75,,19699330.7,411080,104830,,359963616.5,849850,125450,444870,308810,475450,215162805.4,9052742.6,294857.2,14454845,332740,2399552,2491939.5,345228.5,2597357.5,162500,9442978.5,1470007.5,353612.5,152259119.73,114749196.5,394810336.5,45048283.7,206050,784980,1160710,2946414.0,12697836.8,191744,215349938.8,16891975.0,48620,52075,33505,945965589.6,194057640.7,5138584.0,809255,469440964.0,551176481,416427701.3,917128882.0,606603,364662,535809977.4,17578561.2,,219000,,18317970.0,298059556.5,115980,6278401.7,182366.0,1486190,17718434.2,1578500.5,66722,1293887168.25,115832,46100,54896385.0,21011470.0,981944,180195,276674868.9,439396,260652,152358,307364,900952,104130,5838157717.2,421448501.3,24893725.5,29884324.0,111266706.3,100183256.3,411491.0,264184707.0,293740689.0,822130942.0,,63345961.7,41493.5,202636.0,622930.0,,1283077.9,,24704.5,18575,203222127.8,76836890.9,289191681.5,13661461.6,1263005,191251,275630,226415,15260,19920,192264543.4,139545400.0,2664987.5,358150,,81380,9274679.0,300120,75758308,93940,526654,2523162,1012305.0,,8500,82672,196297,143419212.0,1779108.0,5411496,10854608,,22385880,42370,46240,435634264.1,74654,79416,,968147.5,,165245,23315,1720,15015,,376355,170900
2022-07-14,9683469.2,1842485,,332632465.8,115760935.8,69862500.4,153324152,330239298.9,35645324.5,,1242683.08,6089778.0,62545,39849.5,,34755,6991915.5,63198572.0,20231791,1845327,407189,2566585.5,44045,,531345043.6,1902844,87060,266348542.0,10823635,2934935.2,800500,707336,,,145996,1141864,3730,112390,15605.6,,,89508207.5,9370867.22,,45015624.8,40383880.0,105300508.5,10138272.7,30001149.1,,5409360950.1,,,11960283.0,,320758.0,1313542.6,28609116.4,1691473348.0,,632104,257220,,56194185.8,107714,224550,24193550,193295584.6,124939142,,27500,82996,12028652,3467122,420775,42860,,38480,142510,138969,,4124591,30737,348800,22650,3629840,168594,79940,,73222,120272,642864,115519.4,4938658,1154609.2,,1438414.5,2216859675.0,1655460,2746635,955747,14972890.5,81531658.2,138076,16254,33719,536286774.15,,12892573.7,98240,6085,,293031022.0,270270,105035,1194392,390180,1027430,238762138.1,4875849.2,245520.2,9742207,84910,1320286,2776874.0,45864.5,1913597.0,382500,8985552.5,1864394.0,222231.5,171241618.08,93453763.5,438791447.0,20989773.5,240498,344060,532100,1274994.5,4760067.6,130672,202177917.6,10991208.0,8600,1126,43470,1114496660.0,110954163.3,2402715.9,163505,299863025.5,474565891,131255272.8,411657981.5,255286,232360,296932656.3,12897021.6,,36200,,11550656.5,193743392.0,291260,8252624.8,156124.8,703330,14402550.2,1818410.5,1561194,1120559069.1,250198,69500,56422648.3,13417325.0,218114,43573,293234055.85,199020,455328,262496,29112,605454,201986,5273758237.4,395574021.2,43038358.6,27910694.0,330363892.2,118479343.1,473712.5,98660506.5,287921290.5,1024526520.5,,37273224.0,5487.5,179303.5,679910.0,,1034786.7,,708285.0,1036045,272454480.9,88257204.5,154498902.0,11142782.0,1949555,1915410,112230,7720,2470,12565,154686994.6,80362800.0,928234.5,422400,,774696,4022469.5,4483720,84290834,758460,428060,5715560,928519.0,61535,171905,150514,32209,92409494.0,10335542.0,2240504,2127906,,66915200,23100,130400,405086050.3,294068,116118,,1339850.5,,104545,189360,3460,3340,,546970,164590
