begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01,160420,19710,,53505600,5024590,50931,5509,12684950,3026900,,87400,8285,9200,46000,,98,15843,125755,10162,181300,661,307360,7200,,70851700,12780,1,824580,184,9109,757200,3404400,,,331900,1050000,4,193,261880,,,186742,164821,,969540000,2992500,63052,55372,902100,,114378500,,,5733,,370,8303,74953,91572,,3349,81500,,175224000,406,312,29468,123891200,4153700,,6700,4400,12570,2240,3970,20000,20000,230,2740,38200,,88070,120,10,5,1121,24200,830,380,22700,33300,1480,16830000,31500,142500,,5418,504465,295,1159,320200,207680,228980,6800,8800,53700,10434790,,23021,30,230,,74927,645,98,723,93000,119000,3657380,40541000,2715930,84650000,1840000,24340000,44280000,26570000,98490000,770000,15782000,9334000,5980,2206380,705390,1718440,192470,2560,4440,2980,60550,135910,10900,3331500,1837800,1,91,2390,1611645,309359000,102320,9,97141,54588,1079988,98412,3790,3150,603219,30874,,,,33391,460150,3110,98530,5702000,500,226030,302200,1810,6832874,7740,,2321240,282730,405000,297000,2321160,10250,74000,78000,167000,2690000,70000,60628570,8328670,795430,2480,11223100,497161,205100,184378,65125200,35569200,,112459,39000,6546000,7220,,203933,,67000,270000,587114,370757,148102,5771000000,439000000,94500000,148000000,195,100000,20000,1076510,655,8103000,5920,,308,25714000,36,51179000,56,8230000,259100,22670,,241000,24,342,333868,6310,10830,25090,,360,4,6,33495700000,11700,21500,,45270,,210000,50000,60,370,,505,49000
2022-07-04,196480,18120,,33622200,4064180,55832,5494,8783000,3819200,,101350,18975,44700,13000,,111,42734,347624,9598,82200,994,187360,22600,,35773300,26610,,440129,60,8234,152100,1521200,,,124300,806000,39,899,39440,,,160583,161450,,393770000,6824000,107028,118575,926200,,82969140,,,6089,,809,7994,95733,66778,,6504,28700,,74518000,309,287,16517,63614100,9959700,,14000,92300,11150,2680,2080,90000,140000,140,530,51000,,126700,700,25,17,464,2000,530,140,48000,15700,2220,14960000,49850,134130,,2960,421077,209,1212,342600,335480,142500,2700,4300,27000,9605550,,23262,570,320,,77686,81,30,2066,20800,69100,1850900,31298000,4260750,50730000,1330000,30440000,28840000,10550000,72710000,240000,11046000,3579000,29470,1416028,441020,2202320,164431,940,1040,6290,34500,104890,5800,1606090,2325300,12,1,3000,1867316,288050000,79040,5,87137,143121,815646,169244,9800,1520,768229,32944,,,,101427,399160,800,166360,7135000,104,111602,161800,330,2470625,1560,4,1285710,275950,155000,351000,3732870,19590,72500,22000,23000,750000,70000,48006990,5229050,486590,2380,10232500,300920,174700,57365,16041700,10049100,,175285,37000,1772000,4270,,78715,,604000,420000,735151,232335,293749,3290500000,452000000,33500000,123000000,128,30000,10000,1528600,478,8686000,6700,,135,26615000,52,205964000,37,1760000,626600,14430,5000,10000,39,164,651686,4910,9120,20260,,236,8,1,41462620000,10900,14900,,19590,,280000,140000,110,140,,640,205000
2022-07-05,132520,17280,,16783300,6616650,76156,11058,10855380,406100,,2243800,18231,23900,29000,,24,14967,244342,13497,81500,441,296160,4100,,44311400,22940,6,634587,609,11752,220200,1059400,,,49800,2072000,18,366,32560,,,907244,94643,,583680000,1604900,132878,68340,413110,,76016250,,,3204,,279,18321,86334,268584,,3340,12600,,99062000,271,384,9764,84216700,12025300,,1600,28100,14510,1390,1500,1060000,20000,,750,115800,,215810,75,7,,401,4400,610,210,40000,7400,7560,5660000,27150,66740,,2590,442662,343,2573,1375200,959120,192997,30100,7200,202300,14096960,,87018,410,540,,95168,118,35,676,3800,45900,2200500,38400000,327210,56610000,2410000,92520000,10030000,3980000,41690000,120000,28776000,2521000,15420,3017426,1291380,1908240,176606,610,960,4830,44640,264040,15300,1544480,2835300,,7,2700,2678332,802976000,92040,3,115562,51973,554518,106655,5900,2940,1152532,110445,,2,,66339,1311400,2070,720840,1342000,29,107588,117400,930,2647298,15650,,1137280,244880,474000,232000,54648840,21730,114900,79000,23000,11550000,3190000,51662270,6129230,569310,1040,15370500,465422,113300,49864,43997500,9742100,,174729,36000,945000,1730,,43012,,14000,520000,887017,215091,321610,37789300000,377000000,41300000,113000000,52,10000,120000,584180,419,11524000,2630,,35,35771000,40,266140000,13,4210000,544800,16070,26000,30000,76,552,331033,6590,10390,20040,,467,22,12,61765120000,3300,4300,,11150,,510000,280000,90,50,,225,31000
2022-07-06,919000,29070,,24618400,7856010,53610,4891,8599300,198500,,229670,9104,66600,129000,,458,10164,302276,9559,32600,316,133320,12200,,63586400,8380,23,389152,556,21213,62200,898600,,,47700,2111000,3,183,8810,,,157573,143258,,401050000,1280200,117520,45534,537570,,82419920,,,4031,,447,11338,225226,89864,,8894,28100,,137526000,742,172,14792,59299100,5601100,,3900,30300,22160,3210,2580,1850000,,810,1480,28600,,109510,233,8,6,352,27400,160,600,39700,10500,260,28110000,50720,115390,,2346,603617,5887,18878,336400,371080,96880,11300,5600,37200,22974090,,27213,670,670,,109299,74,6,921,24400,45000,2258090,45231000,88090,86970000,2970000,15690000,28050000,3410000,98910000,120000,14352000,3530000,3070,1985181,853220,3013890,162486,550,1710,7030,36880,264830,3000,2522820,2296300,87,78,1480,1547916,413418000,64810,,143603,77770,260425,92301,2650,1830,1693787,51934,,2,,72581,598920,2030,63660,1515000,790,179202,226000,650,2485084,620,28,970470,189580,717000,147000,8539720,24650,49600,15000,10000,9210000,3020000,47075440,5702970,561000,690,9100100,467215,261800,27653,29589400,10486400,,202249,61000,2472000,3390,,78631,,96000,610000,1182774,233731,226331,10833800000,150000000,44200000,130000000,103,,20000,545540,1092,8774000,2050,,123,10068000,66,39607000,11,9810000,1856800,16350,16000,13000,44,206,1385929,15940,9910,21290,,727,8,5,31627190000,4800,18400,,13720,,280000,200000,,60,,507,61000
2022-07-07,400380,31220,,25025000,8173990,30944,4901,4289460,191600,,1065170,26457,8700,50000,,259,43157,363895,31898,41000,96,189450,3900,,52272600,7470,8,346109,412,31637,66200,472000,,,20200,2358000,6,110,5450,,,76973,335322,,186180000,917300,201080,83895,483430,,43747570,,,1551,,455,12907,71632,52066,,8192,36600,,434965000,86,236,9147,57517300,18333400,,78100,26300,9030,630,13120,320000,,370,1020,35200,,159680,18,9,9,176,11900,390,80,5000,7700,740,5520000,43370,107470,,4029,339571,1257,10135,760900,140610,93813,3700,8400,368400,17108380,,41848,10,50,,206511,95,25,639,61400,137600,1622230,21392000,185410,44760000,2660000,29270000,22110000,5410000,54220000,290000,27388000,14874000,5240,1446109,282570,1706670,603019,740,3830,3900,91010,302510,1300,1255840,14236700,8,78,1630,959251,501390000,77630,21,621224,42727,309721,97282,3030,2420,1890419,24088,,4,,79456,333620,2010,147880,3505000,93,213812,120700,480,3720956,7660,4,919730,122600,77000,51000,5335460,78600,41500,92000,33000,39340000,4840000,43059280,3567760,765260,600,9720300,632029,50500,27489,12379700,7081700,,754322,30000,707000,7090,,81292,,126000,780000,1157712,299263,121199,5113200000,257000000,110700000,50000000,149,170000,30000,225860,528,4920000,4670,,54,13442000,25,36947000,3,5160000,906600,14310,,21000,22,1277,534852,35730,8700,36100,,200,11,1,22802910000,3100,15100,,33840,,140000,110000,20,150,,997,52000
2022-07-08,261910,19490,,12094300,4481920,129878,1423,4639620,147400,,63610,33934,23000,11000,,41,53030,481172,35890,90900,132,45580,12200,,53052100,7280,30,229769,911,8185,54900,455400,,,52800,2622000,,51,3220,,,57816,59023,,381860000,696400,204077,123874,281730,,28893760,,,2508,,90,5861,105198,38231,,1457,33900,,122541000,171,61,3590,62235200,18079100,,9000,1000,11660,730,1850,100000,20000,30,630,4500,,42210,28,6,2,169,5900,420,10,54600,8300,50,4910000,47290,137290,,2637,359490,1118,11648,307700,83410,57972,4200,8500,362700,10056960,,47562,130,30,,75534,28,17,296,20500,122500,1575930,14105000,121430,43510000,610000,7110000,58610000,6190000,28200000,110000,39231000,3009000,1430,1155333,347360,4274780,473979,230,2560,3410,31110,146340,3300,945840,8399900,3,42,820,696610,597252000,234800,41,570042,26989,168681,74628,6610,3890,862722,44514,,6,,278058,1902880,150,69710,1545000,80,130338,101700,2080,5692617,4630,,851280,237480,18000,147000,2574080,24290,42500,5743000,1340000,36670000,3830000,27635050,2935810,519350,950,10116200,248299,46700,24220,10134200,8423700,,428145,3000,672000,5180,,75579,,24000,70000,453564,132929,115447,4580600000,129000000,17800000,38000000,18,80000,,384200,351,2436000,1380,,16,7939000,95,25105000,55,3790000,326400,11200,12000,8000,352,189,460014,6300,24990,66710,,299,13,,18567480000,1800,9500,,7660,,150000,80000,40,400,,673,17000
2022-07-11,231850,18830,,16494700,4360820,49963,3126,3877160,1859400,,69590,13419,7300,47000,,109,11823,201524,27228,128200,110,102040,3600,,46730000,8430,585,297262,200,11898,64000,303800,,,66400,2506000,2,512,1710,,,84757,94864,,440630000,1130200,84664,50490,708150,,46550690,,,4133,,115,11611,152802,52507,,1240,76200,,86492000,109,25,11218,54560700,4529000,,8700,4800,15430,3440,14170,90000,40000,20,380,12200,,47260,6,3,6,115,739300,250,70,8200,20300,590,2940000,63540,77840,,1718,539588,683,4607,371100,88860,118684,2200,20100,408600,11840890,,69556,760,1110,,66633,31,11,845,275900,296900,2215400,26038000,304360,36510000,1910000,7080000,86570000,8270000,40330000,160000,11867000,3627000,2580,1611168,249670,4746580,378369,3610,1940,5610,30620,191200,17700,1024320,7298600,1,19,550,825317,242549000,160520,463,874943,37983,382868,121258,5870,3900,901347,14343,,6,,73743,1189330,1880,58780,1202000,184,130780,356700,2030,2412523,940,3,1870590,397840,165000,188000,3244540,7330,28200,16000,2000,18860000,2000000,53725410,4616920,451440,8950,12446200,255167,50500,39914,10273300,9191600,,885628,8000,458000,8160,,91553,,124000,1090000,491725,272045,159035,3939900000,444000000,78100000,32000000,56,40000,20000,442510,833,4055000,1570,,259,18654000,19,57231000,5,4400000,150800,12440,22000,,418,258,239854,18330,70800,64410,,168,3,1,23565200000,3200,10900,,13640,,50000,1150000,60,260,,573,39000
2022-07-12,119180,11770,,36452900,3789510,67379,3361,4187090,4438600,,336910,11949,55800,42000,,69,14805,134850,25834,56300,189,334090,3700,,103609500,12880,68,541467,334,6692,144100,369100,,,37600,1074000,1,27,6210,,,155104,270556,,335560000,2284300,103639,38626,561430,,46890990,,,2694,,138,12005,127393,53999,,2074,61900,,110599000,86,47,4178,116270000,4121400,,29000,5400,7990,3060,5340,50000,20000,450,3710,27500,,38310,242,10,2,211,80400,1050,1030,44700,7500,550,1850000,49150,152660,,2176,502248,243,2634,428200,145780,109304,9900,5000,89300,15341750,,32944,110,300,,79169,76,45,1145,193600,475000,5820670,23968000,225840,74260000,3680000,14320000,90740000,7370000,91970000,190000,10396000,3949000,8930,1434015,432840,4299410,292765,2100,2330,2120,56400,208260,4900,1475590,3592000,4,39,820,1960518,337105000,201410,154,575224,76011,291583,79749,15700,13720,1172313,26320,,,,35752,522030,8090,60150,2629000,916,180926,1203500,860,3581763,370,9,1704540,327050,599000,288000,6493140,60830,13400,4773000,39703000,13700000,2550000,57254290,6061180,733600,13250,28999400,311867,25200,43845,11367000,18893700,,552372,39000,352000,2670,,67045,,106000,350000,438650,225232,117867,3665700000,588000000,23600000,48000000,97,30000,580000,4089560,1850,6397000,3290,,70,13928000,68,31679000,4,8530000,400100,14570,4000,101000,107,414,450788,18350,34870,61140,,194,3,,30737190000,6800,37600,,2570,,170000,290000,20,80,,357,33000
2022-07-13,185750,138430,,32376600,6330230,185194,6499,3667130,3308200,,180640,9210,20900,149000,,46,7778,84091,14678,177700,358,187940,22700,,73514800,192930,50,581530,434,45551,43600,175000,,,101500,511000,261,164,5500,,,198636,529576,,252130000,1410300,125971,46091,573310,,33253510,,,2986,,318,6636,95955,126660,,3737,17500,,56143000,61,144,5748,80292900,3197900,,21400,19000,24520,3280,12000,600000,80000,30,1940,16900,,74980,34,19,8,441,19000,360,40,47200,8200,1260,3760000,26080,90410,,3541,585484,354,2198,142000,73390,311100,21900,34800,235900,24266860,,50006,1480,520,,84066,85,89,672,23400,40100,2619800,36905000,30380,81780000,1250000,16640000,82040000,10890000,96150000,510000,5312000,1692000,4580,1348105,897370,1689590,238880,1180,3530,3810,36420,198540,8700,1649640,3473300,28,93,230,1027111,388883000,274560,187,447528,77549,571596,113175,5360,3110,1678003,20401,,6,,63190,1101980,760,138350,1453000,241,210081,239400,600,3990026,2660,2,859640,335540,1773000,340000,5389410,8690,17000,121000,236000,7200000,1180000,45932640,3484760,665030,39700,14590400,267392,145200,100275,11958900,23646000,,501354,61000,368000,3520,,63450,,56000,50000,535311,225789,150571,1715700000,358000000,36900000,112000000,324,60000,110000,2783650,1135,5734000,4220,,78,15828000,54,53390000,9,8670000,310000,25990,,5000,69,356,463412,24270,34480,172720,,401,11,11,24178060000,9700,12300,,8980,,630000,90000,10,180,,134,50000
2022-07-14,170210,10570,,25087600,4294530,92110,9462,5215960,1528900,,100210,12140,11300,58000,,42,7381,97434,8519,275200,538,37740,3300,,117475300,48650,16,353342,3132,11904,89800,110300,,,19700,1345000,2,73,3010,,,213468,175611,,518880000,1426100,93016,35140,835240,,29125140,,,4683,,483,3471,104273,111162,,756,31900,,71342000,38,96,18802,59567500,2738100,,2000,8400,32590,8990,3200,270000,,1040,3810,16200,,47840,37,10,3,361,20300,280,,10200,16000,11900,6800000,71330,74510,,2150,610142,213,1931,140900,104710,153970,11600,3200,11400,18927080,,33861,350,30,,69169,27,75,1845,31300,92000,2908470,19797000,25580,54730000,320000,9330000,90260000,1460000,70330000,1230000,5102000,2152000,2920,1508284,732540,1891440,110530,1370,1580,1750,16230,74690,6000,1573610,2331500,5,2,300,1198284,225345000,133950,40,286560,65479,181008,50193,2250,2000,946079,15019,,1,,40377,724910,1890,186300,1239000,118,175833,277500,14090,3528461,5860,3,887100,215650,402000,82000,5911530,3970,29200,220000,23000,5100000,2200000,41704620,3288690,1215870,39850,42161400,323198,164100,37411,11820100,30040200,,306419,8000,330000,3990,,51495,,1536000,2560000,725625,260841,81359,1409800000,557000000,374200000,46000000,11,10000,70000,2227040,660,1987000,5130,,734,7042000,821,60075000,72,7100000,675700,23250,18000,98000,132,59,302790,130510,14630,36460,,1200,6,32,22543310000,39900,18300,,12860,,390000,740000,20,40,,198,49000
