url,perfume,brand,country,gender,rating_value,rating_count,year,top,middle,base,perfumer1,perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,Ombré Leather (2018),Tom Ford,,for women and men,4.32,16896,2018,Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli",Perfumers,Sonia Constant,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,Lost Cherry,Tom Ford,,,4.08,16733,2018,"Bitter Almond, Black Cherry, Cherry Liqueur","Sour Cherry, Plum, Turkish Rose, Jasmine Sambac","Vanilla, Tonka Bean, Cinnamon, Peru Balsam, Sandalwood, Benzoin, Cloves, Cedar, Patchouli, Vetiver",Perfumers,Louise Turner,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Fabulous-46513.html,Fabulous,Tom Ford,,,3.83,9182,2017,"Lavender, Clary Sage","Leather, Bitter Almond, Vanilla, Orris","Leather, Tonka Bean, Cashmeran, White Woods, Amber",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,Noir Extreme,Tom Ford,,,4.43,12543,2015,"Cardamom, Nutmeg, Saffron, Mandarin Orange, Neroli","Kulfi, Rose, Mastic or Lentisque, Orange Blossom, Jasmine","Vanilla, Amber, Woody Notes, Sandalwood",Perfumers,Sonia Constant,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,Tobacco Vanille,Tom Ford,,for women and men,4.19,29554,2007,"Tobacco Leaf, Spicy Notes","Vanilla, Cacao, Tonka Bean, Tobacco Blossom","Dried Fruits, Woody Notes",Perfumers,Olivier Gillotin,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html,Oud Wood,Tom Ford,,,4.29,16503,2007,"Agarwood (Oud), Brazilian Rosewood, Cardamom, Sandalwood, Sichuan Pepper, Vanilla, Vetiver, Tonka Bean, Amber",,,Perfumers,Richard Herpin,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Tuscan-Leather-1849.html,Tuscan Leather,Tom Ford,,,4.26,10081,2007,"Raspberry, Saffron, Thyme","Olibanum, Jasmine","Leather, Suede, Woody Notes, Amber",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Black-Orchid-1018.html,Black Orchid,Tom Ford,,,3.89,31179,2006,"Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange, Amalfi Lemon","Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine, Lotus","Mexican chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver, White Musk",Perfumers,David Apel,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Rose-Exposed-98669.html,Rose Exposed,Tom Ford,,for women and men,3.29,470,2025,"White Pepper, Pink Pepper","Rose Water, Rose Oil, Orange Blossom","Leather, Olibanum, Sandalwood, Musk, Cashmeran",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Figue-Erotique-119402.html,Figue Érotique,Tom Ford,,,3.53,482,2025,"Fig Leaf, Bergamot, Pink Pepper, Mandarin","Fig, Ylang Ylang, Salt","Brown sugar, Licorice, Patchouli, Vetiver",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Eau-d-Ombre-Leather-95389.html,Eau d'Ombré Leather,Tom Ford,,,4.30,2482,2024,"Cardamom, Ginger, Coriander","Vanilla, Leather",Ambrofix™,Perfumers,Sonia Constant,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Black-Lacquer-95808.html,Black Lacquer,Tom Ford,,,3.94,1111,2024,"Ink, Vinyl, Black Pepper, Rum","Ebony Wood, elemi, Apricot, Peony",Olibanum,Perfumers,Guillaume Flavigny,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Bois-Pacifique-100411.html,Bois Pacifique,Tom Ford,,,4.10,1314,2024,"Cardamom, Akigalawood, Turmeric","Frankincense, Oak, Cedar, White Sandalwood, Iris","Amber, Vanilla",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-Parfum-89988.html,Oud Wood Parfum,Tom Ford,,,4.09,521,2024,"Cardamom, Pink Pepper, Rosemary","Sandalwood, Agarwood (Oud), Patchouli, Vetiver","Vanilla, Tonka, Amber",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Vanilla-88588.html,Vanilla,Tom Ford,,,3.06,4143,2023,"Indian Vanilla, Vanilla Absolute, Sandalwood, Animal notes, Orris Root, Jasmine",,,Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Oud-Minerale-2023-88818.html,Oud Minérale (2023),Tom Ford,,,3.82,2644,2023,"Sea Notes, Salt, Agarwood (Oud), Seagrass, Balsam Fir, Musk, Amber, Styrax, Pink Pepper",,,Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Cafe-Rose-2023-83771.html,Café Rose (2023),Tom Ford,,,3.69,2777,2023,"Turkish Rose, Coffee","Bulgarian Rose, Patchouli, Cardamom, Coriander, Ylang-Ylang","Frankincense, Sandalwood",Perfumers,Antoine Lie,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Myrrhe-Mystere-83981.html,Myrrhe Mystère,Tom Ford,,,3.88,1069,2023,"Myrrh, Vanilla, Sandalwood, Musk, Leather, Absinthe, Jasmine",,,Perfumers,Rodrigo Flores-Roux,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Electric-Cherry-78583.html,Electric Cherry,Tom Ford,,for women and men,3.69,1907,2023,"Cherry, Ginger",Jasmine Sambac,"Pink Pepper, Musk, Ambrettolide",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Tom-Ford/Soleil-de-Feu-80083.html,Soleil de Feu,Tom Ford,,,4.02,843,2023,"Sandalwood, Amber, Benzoin, Tuberose",,,Perfumers,Givaudan,,,,,
https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,Aventus,Creed,,,4.32,25993,2010,"Bergamot, Black Currant, Apple, Lemon, Pink Pepper","Pineapple, Patchouli, Moroccan Jasmine","Birch, Musk, oak moss, Cedarwood, Ambroxan",Perfumers,Erwin Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Virgin-Island-Water-2007-899.html,Virgin Island Water 2007,Creed,,unisex,4.31,8480,2007,"Coconut, Lime, White Bergamot, Sicilian Mandarin","Ginger, Ylang-Ylang, Indian Jasmine, Hibiscus","White Rum, Sugar Cane, Musk",Perfumers,Erwin Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Silver-Mountain-Water-472.html,Silver Mountain Water,Creed,,for men,4.16,10297,1995,"Bergamot, Mandarin Orange","Green Tea, Black Currant","Musk, Sandalwood, Petitgrain, Galbanum",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,Green Irish Tweed,Creed,,,4.30,11523,1985,"Iris, Vervain",Violet Leaf,"Ambergris, Sandalwood",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Oud-Zarian-111224.html,Oud Zarian,Creed,,unisex,3.69,1011,2025,"Spices, Frankincense, Ginger, Bergamot",May Rose,"Licorice, Myrrh, Oud, Tonka Bean, Sandalwood, Patchouli",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Absolu-Aventus-106624.html,Absolu Aventus,Creed,,,4.42,1045,2025,"Pineapple, Black Currant, Grapefruit, Bergamot, Lemon, Pink Pepper","Cardamom, Cinnamon, Ginger","Vetiver, Patchouli",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Eladaria-103066.html,Eladaria,Creed,,for women,3.84,656,2025,"Pink Pepper, Mandarin, Bergamot","Rose, Powdery Notes, Peony, Lily of the Valley","Musk, Ambroxan, Cashmere Wood, Vanilla",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Centaurus-95601.html,Centaurus,Creed,,for women and men,4.00,1364,2024,"Cinnamon, Tobacco, Cardamom, Pink Pepper","Sandalwood, Patchouli, Heliotrope, Geranium, Jasmine","Bourbon Vanilla, Benzoin, Tolu Balsam, Tonka Bean, Ambroxan",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Queen-of-Silk-89643.html,Queen of Silk,Creed,,for women,3.80,1417,2024,"Saffron, Osmanthus, Magnolia","Tuberose, Patchouli, Passionfruit, Agarwood (Oud)","Madagascar Vanilla, Ambroxan, Myrrh, Musk, Incense, Cedarwood",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Delphinus-95970.html,Delphinus,Creed,,for women and men,4.13,1401,2024,"Almond, Incense, Pink Pepper, Black Pepper","Orris, Heliotrope, Orchid","Bourbon Vanilla, Tonka Bean, Leather, Amberwood, Patchouli",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Absolu-Aventus-2023-84112.html,Absolu Aventus 2023,Creed,,for men,4.39,2815,2023,"Grapefruit, Bergamot, Pink Pepper, Black Currant, Pineapple, Nutmeg, Cloves","Ginger, Cinnamon, Citron, Cardamom, Rose","Patchouli, Vetiver, Oakmoss, Ambroxan, Musk, Sandalwood, Tonka, Evernyl",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Carmina-84206.html,Carmina,Creed,,,3.80,1696,2023,"Black Cherry, Saffron, Pink Pepper","May Rose, Peony, Violet, Cashmere Wood","Musk, Ambroxan, Myrhh, Frankincense",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Viking-Cologne-67039.html,Viking Cologne,Creed,,for men,3.99,1209,2021,"Mandarin Orange, Lemon, Pink Pepper, Bergamot","Lavender, Geranium, Rosemary, Sage, Nutmeg","Vetiver, Cedar, Sandalwood, Olibanum, Patchouli",Perfumers,Erwin Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Wind-Flowers-70182.html,Wind Flowers,Creed,,for women,3.61,1007,2021,"Jasmine, Orange Blossom, Peach","Jasmine Sambac, Tuberose, Rose","Musk, Orange Blossom, Praline, Iris, Sandalwood",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Aventus-Cologne-51692.html,Aventus Cologne,Creed,,for men,4.33,3191,2018,"Mandarin Orange, Ginger, Pink Pepper, Bergamot, Spearmint","Vetiver, Patchouli, Sandalwood, Ozonic notes","Musk, Birch, Tonka Bean, Styrax, Cedar",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Viking-41698.html,Viking,Creed,,,3.96,4060,2017,"Pink Pepper, Peppermint, Bergamot, Lemon, Absinthe, Orange","Lavender, Bulgarian Rose, Clove, Allspice, Orris Root, Jasmine","Vetiver, Cedar, White Musk, Tonka Bean",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Aventus-for-Her-38497.html,Aventus for Her,Creed,,,3.64,3253,2016,"Green Apple, Bergamot, Lemon, Patchouli, Pink Pepper, Violet","Musk, Rose, Sandalwood, Styrax","Black Currant, Peach, Amber, Lilac, Ylang-Ylang",Perfumers,,,,,,
https://www.fragrantica.com/perfume/Creed/Royal-Mayfair-31562.html,Royal Mayfair,Creed,,for women and men,4.10,1562,2015,"Pine Tree, Gin, Lime",Rose,"Eucalyptus, Cedar, Orange",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Royal-Princess-Oud-31563.html,Royal Princess Oud,Creed,,for women,3.93,821,2015,"Bergamot, Violet, Rose","Patchouli, Tuscan Iris, Jasmine, Vanilla Absolute","Agarwood (Oud), Sandalwood, Siam Benzoin, Styrax",Perfumers,Olivier Creed,,,,,
https://www.fragrantica.com/perfume/Creed/Royal-Oud-12317.html,Royal Oud,Creed,,,4.36,5451,2011,"Pink Pepper, Lemon, Sicilian Bergamot","Cedar, Angelica, Galbanum","Sandalwood, Agarwood (Oud), Musk",Perfumers,Julien Rasquinet,,,,,
